#	Title	Dicitencello Vuie
#	Title	Rudolfo Falvo, Enzo Fusco (English by Martin Kalmanoff & Sam Ward) - Dicitencello Vuie.xml
1	3	4	9	3
2	4	4.5	11	3
3	4.5	5	0	4
4	5	5.5	11	3
5	5.5	6	9	3
6	6	6.5	8	3
7	6.5	7	9	3
8	7	7.5	11	3
9	7.5	8	9	3
10	8	9	5	3
11	9	11	5	3
12	11	12	8	3
13	12	12.5	9	3
14	12.5	13	11	3
15	13	13.5	9	3
16	13.5	14	8	3
17	14	14.5	5	3
18	14.5	15	8	3
19	15	15.5	11	3
20	15.5	16	9	3
21	16	17	4	3
22	17	20	4	3
23	20	21	4	3
24	21	22	9	3
25	22	23	11	3
26	23	24	0	4
27	24	26	0	4
28	26	28	11	3
29	28	29	11	3
30	29	30	11	3
31	30	30.5	0	4
32	30.5	31	11	3
33	31	31.5	9	3
34	31.5	32	8	3
35	32	34	11	3
36	34	36	9	3
37	36	37	9	3
38	37	38	9	3
39	38	38.5	10	3
40	38.5	39	9	3
41	39	39.5	7	3
42	39.5	40	9	3
43	40	41.5	7	3
44	41.5	42	5	3
45	42	44	5	3
46	44	45.5	5	3
47	45.5	46	5	3
48	46	46.5	7	3
49	46.5	47	5	3
50	47	47.5	4	3
51	47.5	48	3	3
52	48	52	4	3
53	52	53	4	3
54	53	54	9	3
55	54	55	0	4
56	55	56	4	4
57	56	58	4	4
58	58	60	2	4
59	60	61	2	4
60	61	62	2	4
61	62	62.5	0	4
62	62.5	63	11	3
63	63	63.5	9	3
64	63.5	64	11	3
65	64	68	0	4
66	68	69	0	4
67	69	70	9	3
68	70	70.5	0	4
69	70.5	71	9	3
70	71	71.5	0	4
71	71.5	72	9	3
72	72	74	5	3
73	74	76	5	3
74	76	77	5	3
75	77	78	8	3
76	78	78.5	11	3
77	78.5	79	8	3
78	79	79.5	11	3
79	79.5	80	8	3
80	80	82	4	3
81	82	84	4	3
82	84	85	4	3
83	85	86	9	3
84	86	87	0	4
85	87	88	4	4
86	88	90	4	4
87	90	92	2	4
88	92	93	2	4
89	93	94	2	4
90	94	94.5	0	4
91	94.5	95	11	3
92	95	95.5	9	3
93	95.5	96	11	3
94	96	98	0	4
95	98	100	0	4
96	100	101	0	4
97	101	102	9	3
98	102	102.5	0	4
99	102.5	103	9	3
100	103	103.5	0	4
101	103.5	104	9	3
102	104	106	5	3
103	106	108	5	3
104	108	109	5	3
105	109	110	11	3
106	110	110.5	0	4
107	110.5	111	11	3
108	111	111.5	9	3
109	111.5	112	8	3
110	112	116	9	3
111	116	117	9	3
112	117	118	9	3
113	118	119	0	4
114	119	120	4	4
115	120	122	4	4
116	122	124	2	4
117	124	125	2	4
118	125	126	2	4
119	126	126.5	0	4
120	126.5	127	11	3
121	127	127.5	9	3
122	127.5	128	11	3
123	128	132	0	4
124	132	133	0	4
125	133	134	9	3
126	134	134.5	0	4
127	134.5	135	9	3
128	135	135.5	0	4
129	135.5	136	9	3
130	136	138	5	3
131	138	140	5	3
132	140	141	5	3
133	141	142	8	3
134	142	142.5	11	3
135	142.5	143	8	3
136	143	143.5	11	3
137	143.5	144	8	3
138	144	146	4	3
139	146	148	4	3
140	148	149	4	3
141	149	150	9	3
142	150	151	0	4
143	151	152	4	4
144	152	154	4	4
145	154	156	2	4
146	156	157	2	4
147	157	158	2	4
148	158	158.5	0	4
149	158.5	159	11	3
150	159	159.5	9	3
151	159.5	160	11	3
152	160	162	0	4
153	162	164	0	4
154	164	165	0	4
155	165	166	9	3
156	166	166.5	0	4
157	166.5	167	9	3
158	167	167.5	0	4
159	167.5	168	9	3
160	168	170	5	3
161	170	172	5	3
162	172	173	5	3
163	173	174	11	3
164	174	174.5	0	4
165	174.5	175	11	3
166	175	175.5	9	3
167	175.5	176	8	3
168	176	180	9	3
169	180	183	9	3
170	184.5	185	7	3
171	185	185.5	11	3
172	185.5	186	2	4
173	186	187.5	5	4
174	187.5	188	7	4
175	188	189	5	4
176	189	191	4	4
177	191	191.5	4	4
178	191.5	192	0	4
179	192	193	7	3
180	193	193.5	11	3
181	193.5	194	2	4
182	194	195	5	4
183	195	195.5	5	4
184	195.5	196	7	4
185	196	199	4	4
186	199	200	4	4
187	200	201	4	3
188	201	201.5	8	3
189	201.5	202	11	3
190	202	203.5	2	4
191	203.5	204	4	4
192	204	205	2	4
193	205	208	0	4
194	208	209	0	4
195	209	209.5	0	4
196	209.5	210	0	4
197	210	210.5	2	4
198	210.5	211	2	4
199	211	211.5	0	4
200	211.5	212	2	4
201	212	213	4	4
202	213	214	9	3
203	214	215	0	4
204	215	216	4	4
205	216	218	4	4
206	218	220	2	4
207	220	221	2	4
208	221	222	2	4
209	222	222.5	0	4
210	222.5	223	11	3
211	223	223.5	9	3
212	223.5	224	11	3
213	224	226	0	4
214	226	228	0	4
215	228	229	0	4
216	229	230	9	3
217	230	230.5	0	4
218	230.5	231	9	3
219	231	231.5	0	4
220	231.5	232	9	3
221	232	234	5	3
222	234	236	5	3
223	236	237	5	3
224	237	238	11	3
225	238	238.5	0	4
226	238.5	239	11	3
227	239	239.5	9	3
228	239.5	240	8	3
229	240	244	9	3
230	244	247	9	3
