1	0	2	#
2	2	4	0
3	4	4.5	0
4	4.5	5	1
5	5	5.5	2
6	5.5	6	2
7	6	6.5	3
8	6.5	7.5	0
9	7.5	8	-1
10	8	9	3
11	9	9.5	-5
12	9.5	10	3
13	10	12	0
14	12	13	-1
15	13	13.5	-6
16	13.5	14	4
17	14	16	0
18	16	16.5	-2
19	16.5	17	2
20	17	18	-2
21	18	19	5
22	19	20	0
23	20	20.5	-8
24	20.5	21	1
25	21	22	-1
26	22	23	5
27	23	24	-2
28	24	26	-3
29	26	28	0
30	28	28.5	0
31	28.5	29	1
32	29	29.5	2
33	29.5	30	2
34	30	30.5	2
35	30.5	31	-2
36	31	32	2
37	32	34	-4
38	34	36	0
39	36	36.5	0
40	36.5	37	-2
41	37	37.5	2
42	37.5	38	2
43	38	38.5	-7
44	38.5	39	-2
45	39	40	2
46	40	44	-2
47	44	48	0
48	48	50	4
49	50	52	0
50	52	52.5	0
51	52.5	53	1
52	53	53.5	2
53	53.5	54	2
54	54	54.5	3
55	54.5	55.5	0
56	55.5	56	-1
57	56	57	3
58	57	57.5	-5
59	57.5	59.5	3
60	59.5	60	0
61	60	61	-1
62	61	61.5	-6
63	61.5	62	4
64	62	64	0
65	64	64.5	-2
66	64.5	65	2
67	65	66	-2
68	66	67	5
69	67	68	0
70	68	68.5	-8
71	68.5	69	1
72	69	70	-1
73	70	71	5
74	71	72	-2
75	72	74	-3
76	74	76	0
77	76	76.5	0
78	76.5	77	1
79	77	77.5	2
80	77.5	78	2
81	78	78.5	2
82	78.5	79	-2
83	79	80	2
84	80	82	-4
85	82	84	0
86	84	84.5	0
87	84.5	85	-2
88	85	85.5	2
89	85.5	86	2
90	86	86.5	-7
91	86.5	87	-2
92	87	88	2
93	88	92	-2
94	96	98	7
95	98	98.5	0
96	98.5	99	4
97	99	99.5	1
98	99.5	100	-1
99	100	100.5	-5
100	100.5	101	5
101	101	101.5	1
102	101.5	102	-1
103	102	102.5	-12
104	102.5	103	7
105	103	103.5	1
106	103.5	104	-1
107	104	106	1
108	106	106.5	0
109	106.5	107	0
110	107	107.5	2
111	107.5	108	-2
112	108	108.5	4
113	108.5	109	-4
114	109	109.5	2
115	109.5	110	-2
116	110	110.5	4
117	110.5	111	-4
118	111	112	2
119	112	116	-2
120	116	116.5	0
121	116.5	117	0
122	117	117.5	2
123	117.5	118	-2
124	118	118.5	2
125	118.5	119	-2
126	119	119.5	2
127	119.5	120	-2
128	120	122	-3
129	122	124	0
130	124	124.5	0
131	124.5	125	1
132	125	125.5	2
133	125.5	126	2
134	126	126.5	3
135	126.5	127.5	0
136	127.5	128	-1
137	128	129	3
138	129	129.5	-5
139	129.5	130	3
140	130	132	0
141	132	133	-1
142	133	133.5	-6
143	133.5	134	4
144	134	136	0
145	136	136.5	-2
146	136.5	137	2
147	137	138	-2
148	138	139	5
149	139	140	0
150	140	140.5	-8
151	140.5	141	1
152	141	142	-1
153	142	143	5
154	143	144	-2
155	144	146	-3
156	146	148	0
157	148	148.5	0
158	148.5	149	1
159	149	149.5	2
160	149.5	150	2
161	150	150.5	2
162	150.5	151	-2
163	151	152	2
164	152	154	-4
165	154	156	0
166	156	156.5	0
167	156.5	157	-2
168	157	157.5	2
169	157.5	158	2
170	158	158.5	5
171	158.5	159	-2
172	159	160	2
173	160	162	2
174	162	164	0
175	164	164.5	0
176	164.5	165	-4
177	165	165.5	2
178	165.5	166	2
179	166	166.5	-2
180	166.5	167	-2
181	167	168	2
182	168	172	-2
