1	2	3	#
2	3	4	1
3	4	5.5	4
4	5.5	6	-2
5	6	8	0
6	8	10	0
7	10	11	-3
8	11	12	1
9	12	12.5	4
10	12.5	13	-2
11	13	13.5	0
12	13.5	14	-1
13	14	16	1
14	16	18	0
15	18	19	-3
16	19	20	1
17	20	20.5	4
18	20.5	21	-2
19	21	21.5	0
20	21.5	22	-1
21	22	22.5	3
22	22.5	23	-2
23	23	23.5	0
24	23.5	24	-1
25	24	25	1
26	25	26	3
27	26	27	-1
28	27	28	-2
29	28	32	-2
30	32	34	0
31	34	35	0
32	35	36	2
33	36	37.5	3
34	37.5	38	-1
35	38	40	0
36	40	42	0
37	42	43	-4
38	43	44	2
39	44	44.5	3
40	44.5	45	-1
41	45	45.5	0
42	45.5	46	-1
43	46	48	1
44	48	50	0
45	50	50.5	0
46	50.5	51	2
47	51	51.5	1
48	52	54	4
49	54	55	0
50	55	56	-1
51	56	57	-1
52	57	59	0
53	59	60	-2
54	60	61	-1
55	61	62	0
56	62	63	0
57	63	64	-2
58	64	66	-2
59	66	67	-3
60	67	68	1
61	68	69.5	4
62	69.5	70	-2
63	70	72	0
64	72	74	0
65	74	75	-3
66	75	76	1
67	76	76.5	4
68	76.5	77	-2
69	77	77.5	0
70	77.5	78	-1
71	78	80	1
72	80	82	0
73	82	83	-3
74	83	84	1
75	84	84.5	4
76	84.5	85	-2
77	85	85.5	0
78	85.5	86	-1
79	86	86.5	3
80	86.5	87	-2
81	87	87.5	0
82	87.5	88	-1
83	88	89	1
84	89	90	3
85	90	91	-1
86	91	92	-2
87	92	96	-2
88	96	98	0
89	98	98.5	4
90	98.5	99	2
91	99	99.5	1
92	100	101	4
93	101	102	0
94	102	103	0
95	103	104	-1
96	104	105	-1
97	105	107	0
98	107	108	-2
99	108	108.5	-1
100	108.5	109	0
101	109	109.5	0
102	109.5	110.5	0
103	110.5	111.5	3
104	112	115	-3
105	115	116	-2
106	116	117	0
107	117	118	-2
108	118	119	0
109	119	120	-1
110	120	121	3
111	121	122	-2
112	122	122.5	0
113	122.5	123	0
114	123	123.5	4
115	124	125.5	3
116	125.5	126	-2
117	126	128	0
118	128	130	0
