1	2	3	#
2	3	4	2
3	4	6	2
4	6	7	-4
5	7	8	-3
6	8	10	2
7	10	11	0
8	11	12	1
9	12	14	2
10	14	15	-3
11	15	16	-4
12	16	18	2
13	18	19	0
14	19	20	2
15	21	22	1
16	22	23	-3
17	23	24	2
18	24	25	1
19	25	27	-3
20	27	28	2
21	28	32	1
22	32	33	0
23	34	35	0
24	35	36	2
25	36	38	2
26	38	39	-4
27	39	40	-3
28	40	42	2
29	42	43	0
30	43	44	1
31	44	46	2
32	46	47	-3
33	47	48	-4
34	48	50	2
35	50	51	0
36	51	52	2
37	53	54	1
38	54	55	-3
39	55	56	2
40	56	57	1
41	57	58	-3
42	58	59	0
43	59	60	2
44	60	64	1
45	64	65	0
46	66	67	0
47	67	68	2
48	68	70	2
49	70	71	-5
50	71	72	2
51	72	74	1
52	74	75	4
53	75	76	-2
54	76	80	-3
55	80	81	0
56	82	83	-4
57	83	84	2
58	84	86	1
59	86	87	-1
60	87	88	1
61	88	89	2
62	89	91	-5
63	91	92	5
64	92	96	2
65	96	97	0
66	97	98	0
67	98	99	0
68	99	100	0
69	100	102	0
70	102	103	-4
71	103	104	-3
72	104	106	2
73	106	107	0
74	107	108	1
75	108	110	2
76	110	111	-3
77	111	112	-4
78	112	114	2
79	114	115	0
80	115	116	2
81	116	118	1
82	118	119	-3
83	119	120	2
84	120	121	1
85	121	123	-3
86	123	123.5	0
87	123.5	124	2
88	124	126	1
89	126	127	-3
90	127	128	2
91	128	129	1
92	129	131	-3
93	131	132	3
94	132	134	4
95	134	135	-4
96	135	136	2
97	136	137	2
98	137	138	0
99	138	140	-2
100	140	144	-2
101	144	145	0
102	146	147	0
103	147	148	2
104	148	150	2
105	150	151	-4
106	151	152	-3
107	152	154	2
108	154	155	0
109	155	156	1
110	156	158	2
111	158	159	-3
112	159	160	-4
113	160	162	2
114	162	163	0
115	163	164	2
116	165	166	1
117	166	167	-3
118	167	168	2
119	168	169	1
120	169	171	-3
121	171	172	2
122	172	176	1
123	176	177	0
124	178	179	0
125	179	180	2
126	180	182	2
127	182	183	-4
128	183	184	-3
129	184	186	2
130	186	187	0
131	187	188	1
132	188	190	2
133	190	191	-3
134	191	192	-4
135	192	194	2
136	194	195	0
137	195	196	2
138	197	198	1
139	198	199	-3
140	199	200	2
141	200	201	1
142	201	202	-3
143	202	203	0
144	203	204	2
145	204	208	1
146	208	209	0
147	210	211	0
148	211	212	2
149	212	214	2
150	214	215	-5
151	215	216	2
152	216	218	1
153	218	219	4
154	219	220	-2
155	220	224	-3
156	224	225	0
157	226	227	-4
158	227	228	2
159	228	230	1
160	230	231	-1
161	231	232	1
162	232	233	2
163	233	235	-5
164	235	236	5
165	236	240	2
166	240	241	0
167	241	242	0
168	242	243	0
169	243	244	0
170	244	246	0
171	246	247	-4
172	247	248	-3
173	248	250	2
174	250	251	0
175	251	252	1
176	252	254	2
177	254	255	-3
178	255	256	-4
179	256	258	2
180	258	259	0
181	259	260	2
182	260	262	1
183	262	263	-3
184	263	264	2
185	264	265	1
186	265	267	-3
187	267	267.5	0
188	267.5	268	2
189	268	270	1
190	270	271	-3
191	271	272	2
192	272	273	1
193	273	275	-3
194	275	276	3
195	276	278	4
196	278	279	-4
197	279	280	2
198	280	281	2
199	281	282	0
200	282	284	-2
201	284	288	-2
