1	2	3	#
2	3	4	0
3	4	5	0
4	5	6	0
5	6.25	7	0
6	7	8	0
7	8	8.5	0
8	8.5	9	2
9	9	9.5	0
10	9.5	10	-2
11	10	12	0
12	18	19	0
13	19	20	0
14	20	21	0
15	21	21.5	-7
16	21.5	22	0
17	22	23	0
18	23	24	0
19	24	24.5	0
20	24.5	25	0
21	25	25.5	0
22	25.5	26	0
23	26.5	27	2
24	27.5	28	-2
25	33	34	7
26	34	35	0
27	35	35.5	0
28	35.5	36	0
29	38	39	0
30	39	40	-3
31	40	41	3
32	41	42	-3
33	42	42.5	3
34	42.5	43	2
35	43	43.5	0
36	43.5	44	-2
37	49	49.5	0
38	49.5	50	0
39	50	51	0
40	51	52	0
41	52	52.75	0
42	52.75	53	-7
43	53	54	0
44	54.5	55	0
45	55	56	2
46	56	56.5	3
47	56.5	57	-1
48	57	58	0
49	60	60.5	1
50	60.5	61	-1
51	61.5	62	-4
52	62	63	0
53	69	70	12
54	70	71	0
55	71	72	0
56	72	73	0
57	73	74	-5
58	74	75	0
59	75	75.5	0
60	75.5	76	2
61	85	86	3
62	86	87	0
63	87	88	0
64	88	88.75	0
65	88.75	89	-5
66	89	90	0
67	90	91	0
68	91	92	-3
69	92	92.5	3
70	92.5	93	2
71	93	93.5	0
72	93.5	94	-2
73	94	94.5	0
74	94.5	95	-3
75	95	96	0
76	96	96.5	0
77	96.5	97	1
78	97	97.5	0
79	97.5	98	-1
80	98	100	0
81	101	102	8
82	102	103	0
83	103	104	0
84	104	104.5	0
85	104.5	104.75	-5
86	104.75	105.25	0
87	105.25	105.75	0
88	105.75	106.25	0
89	106.25	106.75	0
90	107.25	107.75	2
91	113	114	3
92	114	115	0
93	115	115.5	0
94	115.5	116	0
95	117	118	0
96	118	118.5	4
97	118.5	119	-4
98	119	119.5	0
99	119.5	120	0
100	120	124	0
101	130	131	-5
102	131	132	0
103	132	133	0
104	133	134	0
105	134.25	135	0
106	135	136	0
107	136	136.5	0
108	136.5	137	2
109	137	137.5	0
110	137.5	138	-2
111	138	140	0
112	146	147	0
113	147	148	0
114	148	149	0
115	149	149.5	-7
116	149.5	150	0
117	150	151	0
118	151	152	0
119	152	152.5	0
120	152.5	153	0
121	153	153.5	0
122	153.5	154	0
123	154.5	155	2
124	155.5	156	-2
125	161	162	7
126	162	163	0
127	163	163.5	0
128	163.5	164	0
129	166	167	0
130	167	168	-3
131	168	169	3
132	169	170	-3
133	170	170.5	3
134	170.5	171	2
135	171	171.5	0
136	171.5	172	-2
137	177	177.5	0
138	177.5	178	0
139	178	179	0
140	179	180	0
141	180	180.75	0
142	180.75	181	-7
143	181	182	0
144	182.5	183	0
145	183	184	2
146	184	184.5	3
147	184.5	185	-1
148	185	186	0
149	188	188.5	1
150	188.5	189	-1
151	189.5	190	-4
152	190	191	0
153	197	198	12
154	198	199	0
155	199	200	0
156	200	201	0
157	201	202	-5
158	202	203	0
159	203	203.5	0
160	203.5	204	2
161	213	214	3
162	214	215	0
163	215	216	0
164	216	216.75	0
165	216.75	217	-5
166	217	218	0
167	218	219	0
168	219	220	-3
169	220	220.5	3
170	220.5	221	2
171	221	221.5	0
172	221.5	222	-2
173	222	222.5	0
174	222.5	223	-3
175	223	224	0
176	224	224.5	0
177	224.5	225	1
178	225	225.5	0
179	225.5	226	-1
180	226	228	0
181	229	230	8
182	230	231	0
183	231	232	0
184	232	232.5	0
185	232.5	232.75	-5
186	232.75	233.25	0
187	233.25	233.75	0
188	233.75	234.25	0
189	234.25	234.75	0
190	235.25	235.75	2
191	241	242	3
192	242	243	0
193	243	243.5	0
194	243.5	244	0
195	245	246	0
196	246	246.5	4
197	246.5	247	-4
198	247	247.5	0
199	247.5	248	0
200	248	252	0
201	275	276	-6
202	276	277	1
203	277	280	-3
204	280	281	2
205	281	283	-2
206	283	284	8
207	284	285	-17
208	285	285.75	0
209	285.75	286	9
210	286	288	0
211	287	288	-4
212	288	290	0
213	292	293.5	-5
214	293.5	294	10
215	294	296	0
216	295	296	-1
217	296	299	-4
