1	2	3	#
2	3	4	2
3	4	6	10
4	6	7	-12
5	7	8	2
6	8	10	1
7	10	11	-3
8	11	12	1
9	12	13	1
10	13	14	5
11	14	15	3
12	15	16	4
13	16	18	-2
14	18	19	-4
15	19	20	1
16	20	21	10
17	21	22	-2
18	22	23	-5
19	23	24	-3
20	24	25	-2
21	25	26	1
22	26	27	1
23	27	28	5
24	28	32	-12
25	32	34	0
26	34	35	-1
27	35	36	1
28	36	38	10
29	38	39	-1
30	39	40	-1
31	40	41	-1
32	41	42	-1
33	42	44	-1
34	44	46	0
35	46	47	-1
36	47	48	-1
37	48	49	-1
38	49	50	-1
39	50	52	-1
40	52	54	0
41	54	55	-1
42	55	56	-1
43	56	58	7
44	58	59	1
45	59	60	6
46	60	64	-5
47	66	67	-9
48	67	68	2
49	68	70	10
50	70	71	-12
51	71	72	2
52	72	74	1
53	74	75	-3
54	75	76	1
55	76	77	1
56	77	78	5
57	78	79	3
58	79	80	4
59	80	82	-2
60	82	83	-4
61	83	84	1
62	84	85	10
63	85	86	-2
64	86	87	-5
65	87	88	-3
66	88	89	-2
67	89	90	1
68	90	91	1
69	91	92	5
70	92	96	-12
71	96	98	0
72	98	99	-1
73	99	100	1
74	100	102	10
75	102	103	-1
76	103	104	-1
77	104	105	-1
78	105	106	-1
79	106	108	-1
80	108	110	0
81	110	111	-1
82	111	112	-1
83	112	113	11
84	113	114	-1
85	114	116	-1
86	116	118	0
87	118	119	-1
88	119	120	-1
89	120	122	-5
90	122	123	1
91	123	124	1
92	124	128	-4
