1	1.5	2	#
2	2	2.5	-3
3	2.5	3	3
4	3	3.5	9
5	3.5	4	-2
6	4	4.5	-2
7	4.5	5	-1
8	5	5.5	-2
9	5.5	6	-2
10	6	7	4
11	7	8	0
12	8	8.5	-2
13	8.5	9	-2
14	9	10	4
15	10	11	0
16	11	11.5	-2
17	11.5	12	-2
18	12	13	5
19	13	13.5	0
20	13.5	14	-5
21	14	14.5	-3
22	14.5	15	3
23	15	15.5	9
24	15.5	16	-2
25	16	16.5	-2
26	16.5	17	-1
27	17	17.5	-2
28	17.5	18	-2
29	18	19	4
30	19	20	0
31	20	20.5	-2
32	20.5	21	-2
33	21	22	4
34	22	23	0
35	23	23.5	-2
36	23.5	24	2
37	24	25	1
38	25.5	26	-5
39	26	26.5	-3
40	26.5	27	3
41	27	27.5	9
42	27.5	28	-2
43	28	28.5	-2
44	28.5	29	-1
45	29	29.5	-2
46	29.5	30	-2
47	30	31	4
48	31	32	0
49	32	32.5	-2
50	32.5	33	-2
51	33	34	4
52	34	35	0
53	35	35.5	-2
54	35.5	36	-2
55	36	37	5
56	37	37.5	0
57	37.5	38	-5
58	38	38.5	-3
59	38.5	39	3
60	39	39.5	9
61	39.5	40	-2
62	40	40.5	-2
63	40.5	41	-1
64	41	41.5	-2
65	41.5	42	-2
66	42	43	4
67	43	44	0
68	44	44.5	-2
69	44.5	45	-2
70	45	46	4
71	46	47	0
72	47	47.5	-2
73	47.5	48	2
74	48	50	1
75	51	52	-3
76	52	53	0
77	53	54	2
78	54	56	1
79	56	57	-3
80	57	58	3
81	58	59	-1
82	59	60	-2
83	60	61	2
84	61	62	-7
85	63	64	5
86	64	65	0
87	65	66	2
88	66	68	1
89	68	69	-3
90	69	70	3
91	70	71	0
92	71	72	2
93	72	73.5	2
94	73.5	74	-9
95	74	74.5	-3
96	74.5	75	3
97	75	75.5	9
98	75.5	76	-2
99	76	76.5	-2
100	76.5	77	-1
101	77	77.5	-2
102	77.5	78	-2
103	78	79	4
104	79	80	0
105	80	80.5	-2
106	80.5	81	-2
107	81	82	4
108	82	83	0
109	83	83.5	-2
110	83.5	84	-2
111	84	85	5
112	85	85.5	0
113	85.5	86	-5
114	86	86.5	-3
115	86.5	87	3
116	87	87.5	9
117	87.5	88	-2
118	88	88.5	-2
119	88.5	89	-1
120	89	89.5	-2
121	89.5	90	-2
122	90	91	4
123	91	92	0
124	92	92.5	-2
125	92.5	93	-2
126	93	94	4
127	94	95	0
128	95	95.5	-2
129	95.5	96	2
130	96	97	1
131	97.5	98	-5
132	98	98.5	-3
133	98.5	99	3
134	99	99.5	9
135	99.5	100	-2
136	100	100.5	-2
137	100.5	101	-1
138	101	101.5	-2
139	101.5	102	-2
140	102	103	4
141	103	104	0
142	104	104.5	-2
143	104.5	105	-2
144	105	106	4
145	106	107	0
146	107	107.5	-2
147	107.5	108	-2
148	108	109	5
149	109	109.5	0
150	109.5	110	-5
151	110	110.5	-3
152	110.5	111	3
153	111	111.5	9
154	111.5	112	-2
155	112	112.5	-2
156	112.5	113	-1
157	113	113.5	-2
158	113.5	114	-2
159	114	115	4
160	115	116	0
161	116	116.5	-2
162	116.5	117	-2
163	117	118	4
164	118	119	0
165	119	119.5	-2
166	119.5	120	2
167	120	122	1
168	123	124	-3
169	124	125	0
170	125	126	2
171	126	128	1
172	128	129	-3
173	129	130	3
174	130	131	-1
175	131	132	-2
176	132	133	2
177	133	134	-7
178	135	136	5
179	136	137	0
180	137	138	2
181	138	140	1
182	140	141	-3
183	141	142	3
184	142	143	0
185	143	144	2
186	144	145.5	2
187	145.5	146	-9
188	146	146.5	-3
189	146.5	147	3
