1	0	0	#
2	0	1	7
3	1	1.33333	-2
4	1.33333	1.66667	-1
5	1.66667	2	1
6	2	3	-1
7	3	3.33333	-7
8	3.33333	3.66667	3
9	3.66667	4	2
10	4	4.5	2
11	4.5	5	0
12	5	6.5	0
13	8	9	1
14	9	9.33333	-2
15	9.33333	9.66667	-1
16	9.66667	10	1
17	10	11	-1
18	11	11.3333	-7
19	11.3333	11.6667	3
20	11.6667	12	2
21	12	15	2
22	15.5	15.6667	-7
23	15.6667	15.8333	3
24	15.8333	16	1
25	16	17	1
26	17	17.3333	-2
27	17.3333	17.6667	7
28	17.6667	18	-7
29	18	19	-1
30	19	20	-2
31	20	21	0
32	21	21.3333	-2
33	21.3333	21.6667	7
34	21.6667	22	-7
35	22	23.5	-1
36	23.5	23.75	3
37	23.75	24	-2
38	24	26	-3
39	26	26.3333	0
40	26.3333	26.6667	3
41	26.6667	27	2
42	27	27.3333	-2
43	27.3333	27.6667	-1
44	27.6667	28	1
45	28	31	7
46	31.25	31.375	-5
47	31.375	31.5	2
48	31.5	31.625	2
49	31.625	31.75	3
50	31.75	31.875	2
51	31.875	32	1
52	32	33	2
53	33	33.3333	-2
54	33.3333	33.6667	-1
55	33.6667	34	1
56	34	35	-1
57	35	35.3333	-7
58	35.3333	35.6667	3
59	35.6667	36	2
60	36	39	2
61	40	41	1
62	41	41.3333	-2
63	41.3333	41.6667	-1
64	41.6667	42	1
65	42	43	-1
66	43	43.3333	-7
67	43.3333	43.6667	3
68	43.6667	44	2
69	44	47	2
70	47.5	47.6667	-7
71	47.6667	47.8333	3
72	47.8333	48	1
73	48	49	1
74	49	49.3333	-2
75	49.3333	49.6667	7
76	49.6667	50	-7
77	50	51	-1
78	51	52	-2
79	52	53	0
80	53	53.3333	-2
81	53.3333	53.6667	7
82	53.6667	54	-7
83	54	55.5	-1
84	55.5	55.75	3
85	55.75	56	-2
86	56	58	-3
87	58	58.5	7
88	58.5	59	-2
89	59	59.5	-2
90	59.5	60	2
91	60	63	-2
92	64	66	7
93	66	66.5	4
94	66.5	67	-2
95	67	67.5	-2
96	67.5	68	-3
97	68	71	3
98	72	74	0
99	74	74.5	4
100	74.5	75	-2
101	75	75.5	-2
102	75.5	76	-3
103	76	79	3
104	80	82	1
105	82	82.5	4
106	82.5	83	-2
107	83	83.5	-2
108	83.5	84	-3
109	84	85.5	3
110	87	88	0
111	88	90	1
112	90	90.5	-2
113	90.5	91	-2
114	91	91.5	-1
115	91.5	92	3
116	92	95	-5
