1	1.5	2	#
2	2	4	5
3	4	4.5	0
4	4.5	5	3
5	5	5.5	-1
6	5.5	6	-4
7	6	8	-3
8	8	9	0
9	9.5	10	0
10	10	11.5	3
11	11.5	12	-3
12	12	13.5	2
13	13.5	14	-3
14	14	16	1
15	16	17	0
16	18	20	0
17	20	20.5	0
18	20.5	21	3
19	21	21.5	-2
20	21.5	22	-1
21	22	22.5	0
22	22.5	23	-2
23	23	23.5	-1
24	23.5	24	1
25	24	24.75	3
26	24.75	25	0
27	25	25.5	0
28	25.5	26	-1
29	26	26.5	-2
30	26.5	27	-2
31	27	27.5	-1
32	27.5	28	1
33	28	28.5	4
34	28.5	29	-2
35	29	29.5	-2
36	29.5	30	2
37	30	32	-4
38	32	33	0
39	34.5	35	-1
40	35	35.5	3
41	35.5	36	2
42	36	36.5	2
43	36.5	37.5	0
44	37.5	38	-4
45	38	38.5	-3
46	38.5	39	3
47	39	39.5	2
48	39.5	40	2
49	40	40.5	-2
50	40.5	41.5	0
51	41.5	42	2
52	42	42.5	5
53	42.5	43	-1
54	43	43.5	-1
55	43.5	44	-7
56	44	44.5	4
57	44.5	44.75	-1
58	44.75	45	-1
59	45	45.5	0
60	45.5	46	-2
61	46	48	9
62	48	48.5	0
63	48.5	49	3
64	49	49.5	-1
65	49.5	50	-4
66	50	52	-3
67	52	53	0
68	53.5	54	0
69	54	55.5	3
70	55.5	56	-3
71	56	57.5	2
72	57.5	58	-3
73	58	60	1
74	60	61	0
75	62	64	0
76	64	64.5	0
77	64.5	65	3
78	65	65.5	-2
79	65.5	66	-1
80	66	66.5	0
81	66.5	67	-2
82	67	67.5	-1
83	67.5	68	1
84	68	68.75	3
85	68.75	69	0
86	69	69.5	0
87	69.5	70	-1
88	70	70.5	-2
89	70.5	71	-2
90	71	71.5	-1
91	71.5	72	1
92	72	72.5	4
93	72.5	73	-2
94	73	73.5	-2
95	73.5	74	2
96	74	76	-4
97	76	77	0
98	78.5	79	-1
99	79	79.5	3
100	79.5	80	2
101	80	80.5	2
102	80.5	81.5	0
103	81.5	82	-4
104	82	82.5	-3
105	82.5	83	3
106	83	83.5	2
107	83.5	84	2
108	84	84.5	-2
109	84.5	85.5	0
110	85.5	86	2
111	86	86.5	5
112	86.5	87	-1
113	87	87.5	-1
114	87.5	88	-7
115	88	88.5	4
116	88.5	88.75	-1
117	88.75	89	-1
118	89	89.5	0
119	89.5	90	-2
120	90	92	-3
121	92	93	0
122	94	94.5	-2
123	94.5	95	2
124	95	95.5	2
125	95.5	96	1
126	96	96.5	-3
127	96.5	97	2
128	97	97.5	1
129	97.5	98	2
130	98	98.5	-3
131	98.5	98.75	-2
132	98.75	99	2
133	99	100	0
134	100	101.5	0
135	102	102.5	1
136	102.5	103	2
137	103	103.5	2
138	103.5	104	1
139	104	104.5	-3
140	104.5	105	2
141	105	105.5	-4
142	105.5	106	4
143	106	108	-2
144	108	109	0
145	109.5	110	5
146	110	111	0
147	111	111.5	-5
148	111.5	112	5
149	112	112.5	0
150	112.5	113.5	0
151	113.5	114	2
152	114	115	0
153	115	115.5	-5
154	115.5	116	5
155	116	116.5	0
156	116.5	117.5	0
157	117.5	118	2
158	118	118.5	0
159	118.5	119	-2
160	119	119.333	-2
161	119.333	119.667	-1
162	119.667	120	1
163	120	120.5	2
164	120.5	121	0
165	121	121.333	0
166	121.333	121.667	-2
167	121.667	122	-1
168	122	123	1
169	123	123.333	0
170	123.333	123.667	-2
171	123.667	124	-1
172	124	124.5	1
173	124.5	125	0
174	125	125.5	0
175	125.5	126	-1
176	126	127	-4
177	127	127.25	0
178	127.25	127.5	2
179	127.5	128	2
180	128	128.5	5
181	128.5	128.75	-5
182	128.75	129	-2
183	129	129.25	0
184	129.25	129.5	-2
185	129.5	130	-3
186	130	130.5	5
187	130.5	132	0
188	132	133	0
189	133.5	134	2
190	134	134.5	5
191	134.5	135	-1
192	135	135.5	-1
193	135.5	136	-7
194	136	136.5	4
195	136.5	136.75	-1
196	136.75	137	-1
197	137	137.5	0
198	137.5	138	-2
199	138	138.5	-3
200	138.5	140	0
201	140	140.5	0
202	141.5	142	7
203	142	144	5
204	144	144.5	0
205	144.5	145	3
206	145	145.5	-1
207	145.5	146	-4
208	146	148	-3
209	148	149	0
210	149.5	150	0
211	150	151.5	3
212	151.5	152	-3
213	152	153.5	2
214	153.5	154	-3
215	154	156	1
216	156	157	0
217	158	160	0
218	160	160.5	0
219	160.5	161	3
220	161	161.5	-2
221	161.5	162	-1
222	162	162.5	0
223	162.5	163	-2
224	163	163.5	-1
