1	0	0.75	#
2	0.75	1	2
3	1	1.5	1
4	1.5	2	2
5	2	2.25	2
6	2.25	2.5	1
7	2.5	2.75	-1
8	2.75	3	-4
9	3	3.5	-3
10	4	4.25	22
11	4.25	4.75	0
12	4.75	5	0
13	5	5.5	0
14	5.5	6	0
15	6	6.5	0
16	7	7.5	0
17	7.5	8	0
18	8	8.25	0
19	8.25	8.75	4
20	8.75	9	-2
21	9	9.5	-2
22	9.5	10	-2
23	10	10.25	-1
24	10.25	10.75	3
25	10.75	11	-2
26	11	11.5	-1
27	11.5	12	-2
28	12	12.25	-2
29	12.25	12.75	4
30	12.75	13	-2
31	13	13.5	-2
32	13.5	14	-3
33	14	15.5	-2
34	15.5	16	5
35	16	16.25	0
36	16.25	16.75	-1
37	16.75	17	-1
38	17	17.5	1
39	17.5	18	3
40	18	19.5	5
41	19.5	20	-5
42	20	20.25	0
43	20.25	20.75	-2
44	20.75	21	-1
45	21	21.5	1
46	21.5	22	4
47	22	23.5	3
48	23.5	24	0
49	24	24.25	0
50	24.25	24.75	4
51	24.75	25	-2
52	25	25.5	-2
53	25.5	26	-2
54	26	26.25	-1
55	26.25	26.75	3
56	26.75	27	-2
57	27	27.5	-1
58	27.5	28	-2
59	28	28.25	-2
60	28.25	28.75	4
61	28.75	29	-2
62	29	29.5	-2
63	29.5	30	-3
64	30	31.5	-2
65	31.5	32	-12
66	32	32.75	2
67	32.75	33	2
68	33	33.5	1
69	33.5	34	2
70	34	34.25	2
71	34.25	34.5	1
72	34.5	34.75	-1
73	34.75	35	-4
74	35	35.5	-3
75	36	36.25	22
76	36.25	36.75	0
77	36.75	37	0
78	37	37.5	0
79	37.5	38	0
80	38	38.5	0
81	39	39.5	0
82	39.5	40	0
83	40	40.25	0
84	40.25	40.75	4
85	40.75	41	-2
86	41	41.5	-2
87	41.5	42	-2
88	42	42.25	-1
89	42.25	42.75	3
90	42.75	43	-2
91	43	43.5	-1
92	43.5	44	-2
93	44	44.25	-2
94	44.25	44.75	4
95	44.75	45	-2
96	45	45.5	-2
97	45.5	46	-3
98	46	47.5	-2
99	47.5	48	5
100	48	48.25	0
101	48.25	48.75	-1
102	48.75	49	-1
103	49	49.5	1
104	49.5	50	3
105	50	51.5	5
106	51.5	52	-5
107	52	52.25	0
108	52.25	52.75	-2
109	52.75	53	-1
110	53	53.5	1
111	53.5	54	4
112	54	55.5	3
113	55.5	56	0
114	56	56.25	0
115	56.25	56.75	4
116	56.75	57	-2
117	57	57.5	-2
118	57.5	58	-2
119	58	58.25	-1
120	58.25	58.75	3
121	58.75	59	-2
122	59	59.5	-1
123	59.5	60	-2
124	60	60.25	-2
125	60.25	60.75	4
126	60.75	61	-2
127	61	61.5	-2
128	61.5	62	-3
129	62	63.5	-2
130	63.5	64	-12
131	64	64.75	2
132	64.75	65	2
133	65	65.5	1
134	65.5	66	2
135	66	66.25	2
136	66.25	66.5	1
137	66.5	66.75	-1
138	66.75	67	-4
139	67	67.5	-3
140	68	68.25	10
141	68.25	68.75	0
142	68.75	69	0
143	69	69.5	2
144	69.5	70	2
145	70	70.5	1
146	70.5	70.75	-5
147	70.75	71	0
148	71	71.5	0
149	71.5	72	0
150	72	72.5	0
151	72.5	73	10
152	73	73.5	-3
153	73.5	74	-3
154	74	75	-2
155	75	76	-1
156	76	76.5	-1
157	76.5	77	9
158	77	77.5	-2
159	77.5	78	-2
160	78	80	-5
161	80	80.5	0
162	80.5	81	1
163	81	81.5	1
164	81.5	82	2
165	82	83	5
166	83	84	-2
167	84	84.5	0
168	84.5	85	-3
169	85	85.5	1
170	85.5	86	4
171	86	87	5
172	87	88	-2
173	88	88.5	-12
174	88.5	89	10
175	89	89.5	-3
176	89.5	90	-3
177	90	91	-2
178	91	92	-1
179	92	92.5	-1
180	92.5	93	9
181	93	93.5	-2
182	93.5	94	-2
183	94	96	-5
184	96	96.25	5
185	96.25	96.75	0
186	96.75	97	0
187	97	97.5	0
188	97.5	98	2
189	98	98.5	2
190	98.5	99	-4
191	99	99.5	-1
192	99.5	100	-2
