1	1	2	#
2	2	3	2
3	3	4	3
4	4	4.5	4
5	4.5	5.5	0
6	5.5	6	-4
7	6	8	-3
8	9	11	7
9	11	12	-4
10	12	12.5	3
11	12.5	13.5	0
12	13.5	14	-3
13	14	16	-3
14	17	19	6
15	19	20	-3
16	20	20.5	4
17	20.5	21.5	0
18	21.5	22	-4
19	22	24	-5
20	25	27	12
21	27	28	2
22	28	29.5	-9
23	29.5	30	0
24	30	32	0
25	33	34	-5
26	34	35	2
27	35	36	3
28	36	36.5	4
29	36.5	37.5	0
30	37.5	38	-4
31	38	40	-3
32	41	43	7
33	43	44	-4
34	44	44.5	3
35	44.5	45.5	0
36	45.5	46	-3
37	46	48	-3
38	49	51	6
39	51	52	-3
40	52	52.5	4
41	52.5	53.5	0
42	53.5	54	-4
43	54	56	-5
44	57	59	12
45	59	60	2
46	60	61.5	-9
47	61.5	62	0
48	62	64	0
49	69	70	9
50	70	70.5	0
51	70.5	71	-1
52	71	72	1
53	72	74	0
54	74	76	-4
55	77	78	-1
56	78	78.5	0
57	78.5	79.5	0
58	79.5	80	-7
59	80	84	0
60	85	86	12
61	86	86.5	0
62	86.5	87	-1
63	87	88	1
64	88	90	0
65	90	92	-4
66	92	93	-1
67	93	94	0
68	94	94.5	0
69	94.5	96	-4
70	96	96.5	7
71	97	98	-12
72	98	99	2
73	99	100	2
74	100	100.5	5
75	100.5	101.5	0
76	101.5	102	-4
77	102	104	-3
78	105	107	7
79	107	108	-4
80	108	108.5	3
81	108.5	109.5	0
82	109.5	110	-3
83	110	112	-3
84	113	115	6
85	115	116	-3
86	116	116.5	4
87	116.5	117.5	0
88	117.5	118	-4
89	118	120	-5
90	121	123	12
91	123	124	2
92	124	125.5	-9
93	125.5	126	0
94	126	128	0
95	129	130	-5
96	130	131	2
97	131	132	3
98	132	132.5	4
99	132.5	133.5	0
100	133.5	134	-4
101	134	136	-3
102	137	139	7
103	139	140	-4
104	140	140.5	3
105	140.5	141.5	0
106	141.5	142	-3
107	142	144	-3
108	145	147	6
109	147	148	-3
110	148	148.5	4
111	148.5	149.5	0
112	149.5	150	-4
113	150	152	-5
114	153	155	12
115	155	156	2
116	156	157.5	-9
117	157.5	158	0
118	158	160	0
119	161	162	-5
120	162	163	2
121	163	164	3
122	164	164.5	4
123	164.5	165.5	0
124	165.5	166	-4
125	166	168	-3
126	169	171	7
127	171	172	-4
128	172	172.5	3
129	172.5	173.5	0
130	173.5	174	-3
131	174	176	-3
132	177	179	6
133	179	180	-3
134	180	180.5	4
135	180.5	181.5	0
136	181.5	182	-4
137	182	184	-5
138	185	187	12
139	187	188	2
140	188	189.5	-9
141	189.5	190	0
142	190	192	0
143	197	198	9
144	198	198.5	0
145	198.5	199	-1
146	199	200	1
147	200	202	0
148	202	204	-4
149	205	206	-1
150	206	206.5	0
151	206.5	207.5	0
152	207.5	208	-7
153	208	212	0
154	213	214	12
155	214	214.5	0
156	214.5	215	-1
157	215	216	1
158	216	218	0
159	218	220	-4
160	220	221	-1
161	221	222	0
162	222	222.5	0
163	222.5	224	-4
164	224	224.5	7
165	225	226	-12
166	226	227	2
167	227	228	2
168	228	228.5	5
169	228.5	229.5	0
170	229.5	230	-4
171	230	232	-3
172	233	235	7
173	235	236	-4
174	236	236.5	3
175	236.5	237.5	0
176	237.5	238	-3
177	238	240	-3
178	241	243	6
179	243	244	-3
180	244	244.5	4
181	244.5	245.5	0
182	245.5	246	-4
183	246	248	-5
184	249	251	12
185	251	252	2
186	252	253.5	-9
187	253.5	254	0
188	254	256	0
