1	0	4	#
2	4	8	0
3	8	12	0
4	12	16	0
5	16	20	0
6	20	24	0
7	24	28	-1
8	28	32	0
9	32	36	1
10	36	38	0
11	39	39.5	4
12	39.5	40	-2
13	40	41.5	-2
14	41.5	42	0
15	42	43	0
16	43	44	4
17	44	45	3
18	45	46	0
19	46	47	0
20	47	47.5	-3
21	47.5	48	-2
22	48	49.5	-2
23	49.5	50	0
24	50	51	0
25	51	52	4
26	52	53	3
27	53	54	0
28	54	55	0
29	55	55.5	-2
30	55.5	56	2
31	56	57	2
32	57	58	-7
33	58	59	0
34	59	59.5	2
35	59.5	60	1
36	60	61	2
37	61	62	-7
38	62	63	0
39	63	63.5	-1
40	63.5	64	-2
41	64	65	-2
42	65	66	9
43	66	67	0
44	67	68	-2
45	68	71	-2
46	71	71.5	4
47	71.5	72	-2
48	72	73.5	-2
49	73.5	74	0
50	74	75	0
51	75	76	4
52	76	77	3
53	77	78	0
54	78	79	0
55	79	79.5	-3
56	79.5	80	-2
57	80	81.5	-2
58	81.5	82	0
59	82	83	0
60	83	84	4
61	84	85	3
62	85	86	0
63	86	87	0
64	87	87.5	-2
65	87.5	88	2
66	88	89	2
67	89	90	-7
68	90	91	0
69	91	91.5	2
70	91.5	92	1
71	92	93	2
72	93	94	-7
73	94	95	0
74	95	95.5	-1
75	95.5	96	-2
76	96	97.5	-2
77	97.5	98	9
78	98	99	0
79	99	100	-2
80	100	103	-2
81	103	103.5	5
82	103.5	104	2
83	104	105	2
84	105	106	-7
85	106	107	0
86	107	107.5	2
87	107.5	108	1
88	108	109	2
89	109	110	-7
90	110	111	0
91	111	111.5	-1
92	111.5	112	-2
93	112	113.5	-2
94	113.5	114	9
95	114	115	0
96	115	116	-2
97	116	119	-2
98	119	119.5	4
99	119.5	120	-2
100	120	121.5	-2
101	121.5	122	0
102	122	123	0
103	123	124	4
104	124	125	3
105	125	126	0
106	126	127	0
107	127	127.5	-3
108	127.5	128	-2
109	128	129.5	-2
110	129.5	130	0
111	130	131	0
112	131	132	4
113	132	133	3
114	133	134	0
115	134	135	0
116	135	135.5	-2
117	135.5	136	2
118	136	137	2
119	137	138	-7
120	138	139	0
121	139	139.5	2
122	139.5	140	1
123	140	141	2
124	141	142	-7
125	142	143	0
