1	0	0.5	#
2	0.5	1	2
3	1	3	2
4	3	3.5	-2
5	3.5	4	-2
6	4	5.5	4
7	5.5	6	-2
8	6	6.5	-2
9	6.5	8	5
10	8	8.5	-1
11	8.5	9	-2
12	9	11	3
13	11.5	12	-3
14	12	13.5	3
15	13.5	14	-1
16	14	14.5	-2
17	14.5	16	3
18	16	17	2
19	17	17.5	-5
20	17.5	17.75	2
21	17.75	19.5	-2
22	18	19.5	2
23	20	21.5	0
24	21.5	22	1
25	22	22.5	2
26	22.5	24	-3
27	24.5	26	1
28	26	26.5	2
29	26.5	27	2
30	27	28	-4
31	28	30	0
32	28.5	30	-3
33	30	30.5	2
34	30.5	31	1
35	31	31.5	0
36	31.5	32	-1
37	32	32.5	0
38	32.5	33	-4
39	33	34	0
40	34	36	0
41	36	36.5	7
42	36.5	37	0
43	37	37.5	0
44	37.5	38.5	0
45	38.5	39	-2
46	39	39.5	-1
47	39.5	40	3
48	40	40.5	0
49	40.5	41	0
50	41	42	0
51	42	43	-3
52	43	43.5	1
53	43.5	44	0
54	44	44.5	0
55	44.5	45.5	0
56	45.5	46	-1
57	46	46.5	-2
58	46.5	48	3
59	48.5	49	0
60	49	49.5	0
61	49.5	50	0
62	50	51	0
63	51	51.5	-1
64	51.5	52	-2
65	52	53	3
66	53	53.5	0
67	53.5	54.5	0
68	54.5	55.5	2
69	56	56.5	-3
70	56.5	57	0
71	57	57.5	0
72	57.5	58.5	0
73	58.5	59	0
74	59	59.5	1
75	59.5	60	2
76	60	60.5	0
77	61	61.5	2
78	61.5	62	0
79	62	62.5	0
80	62.5	63.5	0
81	63.5	64	-2
82	64	64.5	-2
83	64.5	65	4
84	65	65.5	0
85	65.5	66	0
86	66	67	0
87	67	67.5	2
88	67.5	68	-7
89	68	68.5	8
90	68.5	69	0
91	69	69.5	0
92	69.5	70.5	0
93	70.5	71	-1
94	71	71.5	-2
95	71.5	72	-5
96	72	72.5	0
97	73	73.5	0
98	73.5	74	0
99	74	74.5	0
100	74.5	75.5	0
101	75.5	76	1
102	76	76.5	2
103	76.5	77.5	-7
104	77.5	78	0
105	78	79	2
106	79	79.75	2
107	80	80.5	1
108	80.5	81	0
109	81	81.5	0
110	81.5	82.25	0
111	82.25	83	-1
112	83	83.5	-4
113	83.5	84	0
114	84	86	0
115	88	88.5	5
116	88.5	89	0
117	89	89.5	0
118	89.5	90	0
119	90	92	0
120	92	92.5	4
121	92.5	93	0
122	93	93.5	0
123	93.5	95	-2
124	94.5	96	2
125	95	96.5	2
126	96	96.5	-4
127	96.5	97	0
128	97	97.5	0
129	97.5	98	0
130	98	100	0
131	100	100.5	3
132	100.5	101	0
133	101	102.5	0
134	101.5	102.5	-1
135	102.5	103	-2
136	103	104	-3
137	104	104.5	1
138	104.5	105	0
139	105	105.5	0
140	105.5	106	0
141	106	108	0
142	108	108.5	0
143	108.5	109	0
144	109	109.5	0
145	109.5	111	0
146	111	111.5	-1
147	111.5	112	-4
148	112	114	0
