#	Title	Steamroller Blues (Transcribed)
#	Source Filename	James Taylor - Steamroller Blues (Transcribed).xml
0	14	0	3	-1	
14	16	7	3	-1	7
16	20	0	3	-1	
20	24	5	3	-1	7
24	28	0	3	-1	
28	32	0	3	-1	7
32	40	5	3	-1	7
40	48	0	3	-1	
48	52	7	3	-1	7
52	60	5	3	-1	7
60	62	0	3	-1	
62	64	7	3	-1	7
64	68	0	3	-1	
68	72	5	3	-1	7
72	80	0	3	-1	
80	88	5	3	-1	7
88	96	0	3	-1	
96	100	7	3	-1	7
100	104	5	3	-1	7
104	108	0	3	-1	
108	112	7	3	-1	7
112	124	0	3	-1	
124	128	0	3	-1	7
128	136	5	3	-1	7
136	144	0	3	-1	
144	148	7	3	-1	7
148	152	5	3	-1	9
152	157	0	3	-1	
157	160	7	3	-1	7
160	164	0	3	-1	
164	168	5	3	-1	7
168	172	0	3	-1	
172	176	0	3	-1	7
176	184	5	3	-1	7
184	192	0	3	-1	
192	196	7	3	-1	7
196	204	5	3	-1	7
204	212	0	3	-1	
212	216	5	3	-1	7
216	220	0	3	-1	
220	224	0	3	-1	7
224	232	5	3	-1	7
232	240	0	3	-1	
240	244	7	3	-1	7
244	248	5	3	-1	7
248	252	0	3	-1	
252	252.667	0	3	-1	
252.667	253	10	3	-1	9
253	253.667	11	3	-1	9
253.667	256	0	3	-1	9
