#	Title	If You Can't Sing It (You'll Have To Swing It)
#	Source Filename	Sam Coslow - If You Can't Sing It (You'll Have To Swing It).xml
361	0	1	don't
362	0	1	you
363	0	1	be
364	0	1	a
365	1	1	mean
366	3	1	ie.
368	0	1	What
369	0	1	have
370	0	1	you
371	0	1	up
372	0	1	your
373	0	1	sleeve?
375	0	1	Come
376	0	1	on
378	0	1	and
379	0	1	spring
380	0	1	it
382	0	1	And
383	0	1	if
384	0	1	you
385	0	1	can't
386	0	1	spring
387	0	1	it
388	0	1	you'll
389	1	1	sim
390	3	1	ply
391	0	1	have
392	0	1	to
393	0	1	swing
396	0	1	it
