1	8	12	#
2	12	13	0
3	13	13.5	-2
4	13.5	14	2
5	14	15	3
6	15	15.5	-3
7	15.5	16	-2
8	16	20	2
9	24	28	0
10	28	29	0
11	29	29.5	-2
12	29.5	30	2
13	30	31	3
14	31	31.5	-3
15	31.5	32	-2
16	32	35	2
17	39	40	0
18	40	41	5
19	41	42	-5
20	42	42.5	0
21	43	43.5	5
22	43.5	44	2
23	44	45	-3
24	45	47	-4
25	47	47.5	-3
26	47.5	48	7
27	48	50	-2
28	50	50.5	0
29	50.5	51	-2
30	51	51.5	-2
31	51.5	52	4
32	52	53.5	-2
33	53.5	53.75	0
34	53.75	54	0
35	54	54.75	0
36	54.75	55	-3
37	55	55.5	0
38	55.5	56	-2
39	56	58	2
40	64	68	3
41	68	69	0
42	69	69.5	-2
43	69.5	70	2
44	70	70.75	3
45	70.75	71	-3
46	71	71.5	0
47	71.5	72	-2
48	72	75	2
49	75	75.5	0
50	80	84	0
51	84	85	0
52	85	85.5	-2
53	85.5	86	2
54	86	87	3
55	87	87.5	-3
56	87.5	88	-2
57	88	90	2
58	95	96	0
59	96	97	5
60	97	99	-5
61	99	99.5	5
62	99.5	100	2
63	100	101	-3
64	101	103	-4
65	103	103.5	-3
66	103.5	104	7
67	104	106	-2
68	106	106.5	0
69	106.5	107	-2
70	107	107.5	-2
71	107.5	107.583	0
72	107.583	107.667	4
73	107.667	107.75	-2
74	107.75	108	0
75	108	109.5	0
76	109.5	110	-3
77	110	110.25	-2
78	110.25	111	2
79	111	112	-2
80	112	115	-2
81	120	120.5	0
82	120.5	121.5	2
83	121.5	122	2
84	122	123	1
85	123	123.5	2
86	123.5	124	-2
87	124	125	-1
88	125	127	-4
89	128	128.5	2
90	128.75	129	0
91	129	129.5	0
92	129.5	130	2
93	130	131	1
94	131	132	2
95	132	133.5	-3
96	137	137.5	-2
97	137.5	138	2
98	138	138.75	1
99	138.75	139	2
100	139	139.5	0
101	139.5	140	2
102	140	141	2
103	141	141.75	-4
104	141.75	142	-3
105	142	144	0
106	144	144.75	5
107	144.75	145	0
108	145	145.5	0
109	145.5	146	0
110	146	146.667	0
111	146.667	147.333	-2
112	147.333	148	-2
113	148	149	2
114	152	156	0
115	156	157	0
116	157	157.5	-2
117	157.5	158	2
118	158	159	3
119	159	159.5	-3
120	159.5	160	-2
121	160	164	2
122	168	172	0
123	172	173	0
124	173	173.5	-2
125	173.5	174	2
126	174	175	3
127	175	175.5	-3
128	175.5	176	-2
129	176	178	2
130	178	178.5	0
131	183	184	0
132	184	185	5
133	185	187	-5
134	187	187.5	5
135	187.5	188	2
136	188	189	-3
137	189	191	-4
138	191	191.5	-3
139	191.5	192	7
140	192	194	-2
141	194	194.5	0
142	194.5	195	-2
143	195	195.5	-2
144	195.5	196	4
145	196	198	-2
146	198	198.25	0
147	198.25	199	0
148	199	199.5	-3
149	199.5	200	-2
150	200	202	2
151	202	202.5	0
152	205.5	206	0
153	206	207	-2
154	207	207.75	7
155	207.75	208	-2
156	208	212	0
157	214	215	-2
158	215	216	-3
159	216	220	-2
160	220	224	0
