1	0	2	#
2	2	3	-5
3	3	4	-3
4	4	6	5
5	6	6.5	-2
6	6.5	7	4
7	7	7.5	3
8	7.5	8	-2
9	8	10	0
10	10	11	-5
11	11	12	-3
12	12	14	5
13	14	14.5	-4
14	14.5	15	-1
15	15	15.5	-2
16	15.5	16	5
17	16	16.5	0
18	16.5	17	0
19	17	18	0
20	18	18.5	-3
21	18.5	19	-2
22	19	19.5	-2
23	19.5	20	5
24	20	22	0
25	22	22.5	-3
26	22.5	23	-2
27	23	23.5	-1
28	23.5	24	5
29	24	25.5	0
30	25.5	26	0
31	26	28	0
32	28	32	0
33	32	34	8
34	34	35	-5
35	35	36	-3
36	36	38	5
37	38	38.5	-2
38	38.5	39	4
39	39	39.5	3
40	39.5	40	-2
41	40	42	0
42	42	43	-5
43	43	44	-3
44	44	46	5
45	46	46.5	-4
46	46.5	47	-1
47	47	47.5	-2
48	47.5	48	5
49	48	48.5	0
50	48.5	49	0
51	49	50	0
52	50	50.5	-3
53	50.5	51	-2
54	51	51.5	-2
55	51.5	52	5
56	52	54	0
57	54	54.5	-3
58	54.5	55	-2
59	55	55.5	-1
60	55.5	56	5
61	56	57.5	0
62	57.5	58	0
63	58	60	0
64	60	64	0
65	64	68	12
66	68	68.6667	-2
67	68.6667	69.3333	-2
68	69.3333	70	-1
69	70	71	-2
70	71	71.5	-5
71	71.5	72	1
72	72	74	1
73	74	76	5
74	76	78	0
75	78	80	-2
76	80	84	5
77	84	84.6667	-2
78	84.6667	85.3333	-1
79	85.3333	86	-2
80	86	87	-2
81	87	87.5	-3
82	87.5	88	1
83	88	90	2
84	90	92	3
85	92	94	-1
86	94	96	2
87	96	98	1
88	98	99	-5
89	99	100	-3
90	100	102	5
91	102	102.5	-2
92	102.5	103	4
93	103	103.5	3
94	103.5	104	-2
95	104	106	0
96	106	107	-5
97	107	108	-3
98	108	110	5
99	110	110.5	-4
100	110.5	111	-1
101	111	111.5	-2
102	111.5	112	5
103	112	112.5	0
104	112.5	113	0
105	113	114	0
106	114	114.667	-3
107	114.667	115.333	-2
108	115.333	116	-2
109	116	118	9
110	118	118.5	-4
111	118.5	119	-1
112	119	120	-2
113	120	124	10
114	124	127	0
