#	Title	A VOS SOUHAITS
#	Title	Michel PLATRE - A VOS SOUHAITS.xml
1	0	0.5	4	5
2	0.5	1	5	5
3	1	1.5	4	5
4	1.5	2	2	5
5	2	2.5	0	5
6	2.5	3	2	5
7	3	3.5	0	5
8	3.5	4	11	4
9	4	5	0	5
10	5	6	4	5
11	6	8	0	5
12	8	9	0	5
13	9	10	4	5
14	10	12	2	5
15	12	13	2	5
16	13	14	5	5
17	14	16	4	5
18	16	16.5	4	5
19	16.5	17	5	5
20	17	17.5	4	5
21	17.5	18	2	5
22	18	18.5	0	5
23	18.5	19	2	5
24	19	19.5	0	5
25	19.5	20	11	4
26	20	21	0	5
27	21	22	4	5
28	22	24	0	5
29	24	25	2	5
30	25	26	5	5
31	26	27	2	5
32	27	28	11	4
33	28	29	0	5
34	29	30	4	5
35	30	32	0	5
36	32	32.5	4	5
37	32.5	33	5	5
38	33	33.5	4	5
39	33.5	34	2	5
40	34	34.5	0	5
41	34.5	35	2	5
42	35	35.5	0	5
43	35.5	36	11	4
44	36	37	0	5
45	37	38	4	5
46	38	40	0	5
47	40	41	0	5
48	41	42	4	5
49	42	44	2	5
50	44	45	2	5
51	45	46	5	5
52	46	48	4	5
53	48	48.5	4	5
54	48.5	49	5	5
55	49	49.5	4	5
56	49.5	50	2	5
57	50	50.5	0	5
58	50.5	51	2	5
59	51	51.5	0	5
60	51.5	52	11	4
61	52	53	0	5
62	53	54	4	5
63	54	56	0	5
64	56	57	2	5
65	57	58	5	5
66	58	59	2	5
67	59	60	11	4
68	60	61	0	5
69	61	62	4	5
70	62	64	0	5
71	64	65	2	5
72	65	66	2	5
73	66	67.5	5	5
74	67.5	68	4	5
75	68	69	2	5
76	69	70	2	5
77	70	72	7	5
78	72	72.5	7	4
79	72.5	73	9	4
80	73	73.5	11	4
81	73.5	74	0	5
82	74	74.5	2	5
83	74.5	75	0	5
84	75	75.5	2	5
85	75.5	76	11	4
86	76	77	0	5
87	77	78	4	5
88	78	80	7	4
89	80	81	2	5
90	81	82	2	5
91	82	83.5	5	5
92	83.5	84	4	5
93	84	85	2	5
94	85	86	2	5
95	86	88	7	5
96	88	88.5	7	4
97	88.5	89	9	4
98	89	89.5	11	4
99	89.5	90	0	5
100	90	90.5	2	5
101	90.5	91	0	5
102	91	91.5	2	5
103	91.5	92	11	4
104	92	93	0	5
105	93	94	4	5
106	94	96	0	5
107	96	97	2	5
108	97	98	2	5
109	98	99.5	5	5
110	99.5	100	4	5
111	100	101	2	5
112	101	102	2	5
113	102	104	7	5
114	104	104.5	7	4
115	104.5	105	9	4
116	105	105.5	11	4
117	105.5	106	0	5
118	106	106.5	2	5
119	106.5	107	0	5
120	107	107.5	2	5
121	107.5	108	11	4
122	108	109	0	5
123	109	110	4	5
124	110	112	7	4
125	112	113	2	5
126	113	114	2	5
127	114	115.5	5	5
128	115.5	116	4	5
129	116	117	2	5
130	117	118	2	5
131	118	120	7	5
132	120	120.5	7	4
133	120.5	121	9	4
134	121	121.5	11	4
135	121.5	122	0	5
136	122	122.5	2	5
137	122.5	123	0	5
138	123	123.5	2	5
139	123.5	124	11	4
140	124	125	0	5
141	125	126	4	5
142	126	128	0	5
