1	2	3	#
2	3	4	2
3	4	6	2
4	6	6.66667	0
5	6.66667	7.33333	-2
6	7.33333	8	-2
7	8	11	-1
8	11	12	-2
9	12	16	5
10	16	17	0
11	18	19	-3
12	19	20	1
13	20	22	2
14	22	22.6667	0
15	22.6667	23.3333	-2
16	23.3333	24	-2
17	24	27	-1
18	27	28	-2
19	28	32	-3
20	32	34	0
21	35	36	0
22	36	36.5	0
23	36.5	37	-2
24	37	37.5	0
25	37.5	38	0
26	38	40	0
27	40	42	0
28	42	42.6667	5
29	42.6667	43.3333	5
30	43.3333	44	4
31	44	48	-2
32	48	49	-2
33	50	51	0
34	51	52	2
35	52	54	2
36	54	54.6667	0
37	54.6667	55.3333	-2
38	55.3333	56	-2
39	56	59	-1
40	59.5	60	-2
41	60	60.5	2
42	60.5	61	3
43	61	61.3333	-3
44	61.3333	61.6667	-2
45	61.6667	62	2
46	62	64	0
47	66	67	1
48	67	68	2
49	68	70	2
50	70	70.6667	0
51	70.6667	71.3333	-2
52	71.3333	72	-2
53	72	75	-1
54	75	76	-2
55	76	80	5
56	80	81	0
57	82	83	-3
58	83	84	1
59	84	86	2
60	86	86.6667	0
61	86.6667	87.3333	-2
62	87.3333	88	-2
63	88	91	-1
64	91	92	-2
65	92	96	-3
66	96	98	0
67	99	100	0
68	100	100.5	0
69	100.5	101	-2
70	101	101.5	0
71	101.5	102	0
72	102	104	0
73	104	106	0
74	106	106.667	5
75	106.667	107.333	5
76	107.333	108	4
77	108	112	-2
78	112	113	-2
79	114	115	0
80	115	116	2
81	116	118	2
82	118	118.667	0
83	118.667	119.333	-2
84	119.333	120	-2
85	120	123	-1
86	123.5	124	-2
87	124	124.5	2
88	124.5	125	3
89	125	125.333	-3
90	125.333	125.667	-2
91	125.667	126	2
92	126	128	0
93	130	131	1
94	131	132	2
95	132	134	2
96	134	134.667	0
97	134.667	135.333	-2
98	135.333	136	-2
99	136	139	-1
100	139	140	-2
101	140	144	5
102	144	145	0
103	146	147	-3
104	147	148	1
105	148	150	2
106	150	150.667	0
107	150.667	151.333	-2
108	151.333	152	-2
109	152	155	-1
110	155	156	-2
111	156	160	-3
112	160	162	0
113	163	164	0
114	164	164.5	0
115	164.5	165	-2
116	165	165.5	0
117	165.5	166	0
118	166	168	0
119	168	170	0
120	170	170.667	5
121	170.667	171.333	5
122	171.333	172	4
123	172	176	-2
124	176	177	-2
125	178	179	0
126	179	180	2
127	180	182	2
128	182	182.667	0
129	182.667	183.333	-2
130	183.333	184	-2
131	184	187	-1
132	187.5	188	-2
133	188	188.5	2
134	188.5	189	3
135	189	189.333	-3
136	189.333	189.667	-2
137	189.667	190	2
138	190	192	0
139	194	195	1
140	195	196	2
141	196	198	2
142	198	198.667	0
143	198.667	199.333	-2
144	199.333	200	-2
145	200	203	-1
146	203	204	-2
147	204	208	5
148	208	209	0
149	210	211	-3
150	211	212	1
151	212	214	2
152	214	214.667	0
153	214.667	215.333	-2
154	215.333	216	-2
155	216	219	-1
156	219	220	-2
157	220	224	-3
158	224	226	0
159	227	228	0
160	228	228.5	0
161	228.5	229	-2
162	229	229.5	0
163	229.5	230	0
164	230	232	0
165	232	234	0
166	234	234.667	5
167	234.667	235.333	5
168	235.333	236	4
169	236	240	-2
170	240	241	-2
171	242	243	0
172	243	244	2
173	244	246	2
174	246	246.667	0
175	246.667	247.333	-2
176	247.333	248	-2
177	248	251	-1
178	251.5	252	-2
179	252	252.5	2
180	252.5	253	3
181	253	253.333	-3
182	253.333	253.667	-2
183	253.667	254	2
184	254	256	0
185	258	259	1
186	259	260	2
