#	Title	A Big Hunk O'Love
#	Source Filename	Aaron Schroeder and Sid Wyche - A Big Hunk O'Love.xml
4	20	0	3	-1	
20	28	5	3	-1	
28	36	0	3	-1	
36	40	7	3	-1	7
40	44	5	3	-1	
44	72	0	3	-1	
72	76	0	3	-1	7
76	84	5	3	-1	7
84	92	0	3	-1	
92	96	7	3	-1	7
96	100	5	3	-1	
100	124	0	3	-1	
124	132	5	3	-1	
132	140	0	3	-1	
140	144	7	3	-1	7
144	148	5	3	-1	
148	176	0	3	-1	
176	180	0	3	-1	7
180	188	5	3	-1	
188	196	0	3	-1	
196	200	7	3	-1	7
200	204	5	3	-1	
204	224	0	3	-1	
224	228	0	3	-1	7
228	236	5	3	-1	7
236	244	0	3	-1	
244	248	7	3	-1	7
248	252	5	3	-1	7
252	288	0	3	-1	
288	292	0	3	-1	7
292	300	5	3	-1	
300	308	0	3	-1	
308	312	7	3	-1	7
312	316	5	3	-1	
316	324	0	3	-1	
324	328	7	3	-1	7
328	332	5	3	-1	
332	340	0	3	-1	
340	344	7	3	-1	7
344	348	5	3	-1	
348	356	0	3	-1	
356	360	7	3	-1	7
360	364	5	3	-1	7
364	376	0	3	-1	
