#	Title	The Birds And The Bees
#	Title	Herb Newman - The Birds And The Bees.xml
1	1	1.5	9	4
2	1.5	2	7	4
3	2	2.5	4	4
4	2.5	3	2	4
5	3	3.5	0	4
6	3.5	4	9	3
7	4	5	0	4
8	5	5.5	4	4
9	5.5	6	4	4
10	6	7	0	4
11	7	7.5	7	3
12	7.5	8	7	3
13	8	8.5	11	3
14	8.5	9	11	3
15	9	9.5	2	4
16	9.5	10	2	4
17	10	11	9	3
18	11	11.5	7	3
19	11.5	12	7	3
20	12	13	11	3
21	13	14	2	4
22	14	15	11	3
23	15	16	9	3
24	17	17.5	7	4
25	17.5	18	7	4
26	18	18.5	5	4
27	18.5	19	0	4
28	19	20	4	4
29	20	20.5	0	4
30	20.5	21	4	4
31	21	24	0	4
32	25	25.5	9	4
33	25.5	26	7	4
34	26	26.5	4	4
35	26.5	27	2	4
36	27	27.5	0	4
37	27.5	28	9	3
38	28	29	0	4
39	29	29.5	4	4
40	29.5	30	4	4
41	30	31	0	4
42	31	31.5	7	3
43	31.5	32	7	3
44	32	33	11	3
45	33	33.5	2	4
46	33.5	34	2	4
47	34	35	9	3
48	35	35.5	7	3
49	35.5	36	7	3
50	36	37	11	3
51	37	37.5	2	4
52	37.5	38	11	3
53	38	40	9	3
54	41	41.5	7	4
55	41.5	42	7	4
56	42	42.5	5	4
57	42.5	43	0	4
58	43	44	2	4
59	44	44.5	0	4
60	44.5	45	2	4
61	45	48	0	4
62	49	49.5	0	4
63	49.5	50	0	4
64	50	50.5	2	4
65	50.5	51	0	4
66	51	51.5	2	4
67	51.5	52	0	4
68	52	52.5	9	4
69	52.5	53.5	5	4
70	53.5	54	0	4
71	54	55	0	4
72	57	57.5	9	4
73	57.5	58	9	4
74	58	58.5	9	4
75	58.5	59	7	4
76	59	59.5	5	4
77	59.5	60	9	4
78	60	61	9	4
79	61	64	7	4
80	67	67.5	9	3
81	67.5	68	9	3
82	68	69	4	4
83	69	69.5	4	4
84	69.5	70	0	4
85	70	70.5	0	4
86	70.5	71	0	4
87	71	71.5	0	4
88	71.5	72	9	3
89	72	72.5	4	4
90	72.5	73.5	2	4
91	73.5	74	9	3
92	74	75	9	3
93	76	76.5	2	4
94	76.5	77.5	2	4
95	77.5	78	0	4
96	78	79	11	3
97	79	80	0	4
98	80	81	2	4
99	81	81.5	9	4
100	81.5	82	7	4
101	82	82.5	4	4
102	82.5	83	2	4
103	83	83.5	0	4
104	83.5	84	9	3
105	84	85	0	4
106	85	85.5	4	4
107	85.5	86	4	4
108	86	87	0	4
109	87	87.5	7	3
110	87.5	88	7	3
111	88	88.5	11	3
