1	2	3	#
2	3	5	5
3	5	5.5	2
4	5.5	6	2
5	6	8	3
6	8	8.5	2
7	8.5	9	-2
8	9	10	-3
9	10	12	-4
10	12	14	0
11	14	15	-5
12	15	17	5
13	17	17.5	2
14	17.5	18	2
15	18	20	3
16	20	20.5	2
17	20.5	21	-2
18	21	24	-5
19	24	26	0
20	26	26.5	2
21	26.5	27	-2
22	27	29	-2
23	29	30	9
24	30	32	-2
25	32	32.5	-3
26	32.5	33	-2
27	33	35	-2
28	35	36	9
29	36	38	-2
30	38	38.5	-3
31	38.5	39	-2
32	39	40	-2
33	40	41	-3
34	41	42	2
35	42	44	1
36	44	45	4
37	45	48	-2
38	48	50	0
39	50	51	-7
40	51	53	5
41	53	53.5	2
42	53.5	54	2
43	54	56	3
44	56	56.5	2
45	56.5	57	-2
46	57	58	-3
47	58	60	-4
48	60	62	0
49	62	63	-5
50	63	65	5
51	65	65.5	2
52	65.5	66	2
53	66	68	3
54	68	69	-7
55	69	72	9
56	72	74	0
57	74	75	0
58	75	76	0
59	76	77.5	-2
60	77.5	78	-3
61	78	80	-2
62	80	81	2
63	81	82	3
64	82	83	-2
65	83	84	-5
66	84	86	-3
67	86	86.5	5
68	86.5	87	-2
69	87	88	-5
70	88	89	5
71	89	90	4
72	90	92	3
73	92	92.5	-5
74	92.5	93	2
75	93	96	-4
76	96	99	0
