#	Title	This Is A Great Country
#	Title	Irving  Berlin - This Is A Great Country.xml
1	0.5	1	0	4
2	1	1.5	0	4
3	1.5	2	0	4
4	2	3.5	4	4
5	3.5	4	2	4
6	4	4.5	2	4
7	4.5	5.5	0	4
8	5.5	6	4	4
9	6	7.5	7	4
10	7.5	8	5	4
11	8	8.5	5	4
12	8.5	9.5	4	4
13	9.5	10	7	4
14	10	11	0	5
15	11	11.5	7	4
16	11.5	12	5	4
17	12	13	4	4
18	13	14	7	4
19	14	16	2	4
20	16	18	2	4
21	18	19	4	4
22	19	19.5	4	4
23	19.5	20	6	4
24	20	21	6	4
25	21	21.5	4	4
26	21.5	22	6	4
27	22	23	7	4
28	23	23.5	7	4
29	23.5	24	9	4
30	24	25	9	4
31	25	25.5	7	4
32	25.5	26	9	4
33	26	27	11	4
34	27	27.5	0	5
35	27.5	28	9	4
36	28	29	7	4
37	29	30	6	4
38	30	32	7	4
39	32	34	7	4
40	34	35	9	4
41	35	36	2	4
42	36	37	2	4
43	37	37.5	4	4
44	37.5	38	5	4
45	38	38.5	7	4
46	38.5	39	4	4
47	39	40	0	4
48	40	41.5	0	4
49	41.5	42	0	4
50	42	43	5	4
51	43	43.5	4	4
52	43.5	44	7	4
53	44	45	4	4
54	45	45.5	2	4
55	45.5	46	0	4
56	46	48	2	4
57	48	48.5	2	4
58	48.5	49	4	4
59	49	49.5	5	4
60	49.5	50	6	4
61	50	51.5	7	4
62	51.5	52	4	4
63	52	52.5	4	4
64	52.5	54	0	4
65	54	55.5	0	5
66	55.5	56	11	4
67	56	56.5	11	4
68	56.5	57	9	4
69	57	57.5	11	4
70	57.5	58	0	5
71	58	59	2	5
72	59	60	2	5
73	60	61	2	5
74	61	62	9	4
75	62	62.5	0	5
76	62.5	63	11	4
77	63	64	9	4
78	64	65	9	4
79	65	66	11	4
80	66	68	0	5
81	68	68.5	0	5
82	68.5	69	0	4
83	69	69.5	0	4
84	69.5	70	0	4
85	70	71.5	4	4
86	71.5	72	2	4
87	72	72.5	2	4
88	72.5	73.5	0	4
89	73.5	74	4	4
90	74	75.5	7	4
91	75.5	76	5	4
92	76	76.5	5	4
93	76.5	77.5	4	4
94	77.5	78	7	4
95	78	79	0	5
96	79	79.5	7	4
97	79.5	80	5	4
98	80	81	4	4
99	81	82	7	4
100	82	84	2	4
101	84	86	2	4
102	86	87	4	4
103	87	87.5	4	4
104	87.5	88	6	4
105	88	89	6	4
106	89	89.5	4	4
107	89.5	90	6	4
108	90	91	7	4
109	91	91.5	7	4
110	91.5	92	9	4
111	92	93	9	4
112	93	93.5	7	4
113	93.5	94	9	4
114	94	95	11	4
115	95	95.5	0	5
116	95.5	96	9	4
117	96	97	7	4
118	97	98	6	4
119	98	100	7	4
120	100	102	7	4
121	102	103	9	4
122	103	104	2	4
123	104	105	2	4
124	105	105.5	4	4
125	105.5	106	5	4
126	106	106.5	7	4
127	106.5	107	4	4
128	107	108	0	4
129	108	109.5	0	4
130	109.5	110	0	4
131	110	111	5	4
132	111	111.5	4	4
133	111.5	112	7	4
134	112	113	4	4
135	113	113.5	2	4
136	113.5	114	0	4
137	114	116	2	4
138	116	116.5	2	4
139	116.5	117	4	4
140	117	117.5	5	4
141	117.5	118	6	4
142	118	119.5	7	4
143	119.5	120	4	4
144	120	120.5	4	4
145	120.5	122	0	4
146	122	123.5	0	5
147	123.5	124	11	4
148	124	124.5	11	4
149	124.5	125	9	4
150	125	125.5	11	4
151	125.5	126	0	5
152	126	127	2	5
153	127	128	2	5
154	128	129	2	5
155	129	130	9	4
156	130	130.5	0	5
157	130.5	131	11	4
158	131	132	9	4
159	132	133	9	4
160	133	134	11	4
161	134	136	0	5
162	136	137.5	0	5
