1	2	3	#
2	3	4.5	0
3	4.5	5	2
4	5	6	-2
5	6	7	-3
6	7	8	1
7	8	9	2
8	9	10.5	-2
9	10.5	11	-1
10	11	12	-2
11	12	13	2
12	13	14	-4
13	14	15	7
14	15	16.5	0
15	16.5	17	2
16	17	18	2
17	18	19.5	1
18	19.5	20	2
19	20	21	-3
20	21	22.5	-2
21	22.5	23	-2
22	23	24	2
23	24	26	-2
24	26	27	0
25	27	28.5	0
26	28.5	29	2
27	29	30	2
28	30	31	1
29	31	32	-5
30	32	33	0
31	33	34.5	0
32	34.5	35	2
33	35	35.5	-4
34	35.5	36	2
35	36	37	-3
36	37	38	-4
37	38	39	0
38	39	40.5	5
39	40.5	41	2
40	41	41.5	2
41	41.5	42	-5
42	42	43.5	3
43	43.5	44	-2
44	44	44.5	-1
45	44.5	45	0
46	45	46	1
47	46	47.5	-3
48	47.5	48	-2
49	48	50	0
