1	2	3	#
2	3	4	2
3	4	5	3
4	5	5.5	0
5	5.5	6	0
6	6	6.5	4
7	6.5	7	0
8	8	9	-4
9	9	9.5	0
10	9.5	10	0
11	10	11	4
12	12	12.5	-4
13	12.5	13	0
14	13	14	0
15	14	14.5	4
16	14.5	15	0
17	15	16	3
18	16	17	3
19	17	18	-3
20	18	19	-3
21	19	20	-4
22	20	21	3
23	21	24	0
24	24	25	4
25	25	25.5	0
26	25.5	26	0
27	26	27	-4
28	27	28	-3
29	28	32	0
30	32	34	0
31	35	35.5	7
32	35.5	36	0
33	36	36.5	0
34	36.5	37	0
35	37	38	0
36	38	38.5	0
37	38.5	39	-12
38	39	40	5
39	40	40.5	-3
40	40.5	41	0
41	41	42	3
42	42	43	4
43	43	44	-4
44	44	48	0
45	48	50	0
46	50	51	-5
47	51	51.5	2
48	51.5	52	-2
49	52	53	5
50	53	54	0
51	54	55	4
52	56	56.5	-4
53	56.5	57	0
54	57	58	0
55	58	59	4
56	60	60.5	-4
57	60.5	61	0
58	61	62	0
59	62	63	4
60	63	64	-4
61	64	64.5	0
62	64.5	65	0
63	65	66	0
64	66	67	-3
65	68	69	3
66	69	69.5	0
67	69.5	70	0
68	70	71	4
69	71	71.5	-7
70	71.5	72	-2
71	72	73	5
72	73	74	0
73	74	75.5	4
74	75.5	76	-7
75	76	77	3
76	77	78	0
77	78	78.5	4
78	78.5	79	0
79	79	80	3
80	80	80.5	3
81	80.5	81	-3
82	81	82	-2
83	82	83	-1
84	84	85	-1
85	85	88	0
86	88	89	4
87	89	89.5	0
88	89.5	90	-2
89	90	91	-2
90	91	92	-3
91	92	96	0
92	96	98	0
93	99	99.5	7
94	99.5	100	0
95	100	100.5	0
96	100.5	101	0
97	101	102	0
98	102	102.5	0
99	102.5	103	-12
100	103	104	0
101	104	104.5	2
102	104.5	105	0
103	105	106	3
104	106	107	4
105	107	108	-4
106	108	112	0
107	112	114	0
108	114	115	-5
109	115	116	2
110	116	117	3
111	117	118	0
112	118	119	4
113	120	120.5	-4
114	120.5	121	0
115	121	122	0
116	122	123	4
117	124	124.5	-4
118	124.5	125	0
119	125	126	0
120	126	127	4
121	127	128	-4
122	128	128.5	0
123	128.5	129	0
124	129	130	0
125	130	131	-3
126	132	133	3
127	133	133.5	0
128	133.5	134	0
129	134	135	4
130	135	135.5	-7
131	135.5	136	-2
132	136	137	5
133	137	138	0
134	138	139.5	4
135	139.5	140	-7
136	140	141	3
137	141	142	0
138	142	142.5	4
139	142.5	143	0
140	143	144	3
141	144	144.5	3
142	144.5	145	-3
143	145	146	-2
144	146	147	-1
145	148	149	-1
146	149	152	0
147	152	153	4
148	153	153.5	0
149	153.5	154	-2
150	154	155	-2
151	155	156	-3
152	156	160	0
153	160	162	0
154	163	163.5	7
155	163.5	164	0
156	164	164.5	0
157	164.5	165	0
158	165	166	0
159	166	166.5	0
160	166.5	167	-12
161	167	168	0
162	168	168.5	2
163	168.5	169	0
164	169	170	3
165	170	171	4
166	171	172	-4
167	172	176	0
168	176	178	0
