1	2	3	#
2	3	4	-4
3	4	8	-1
4	8	9	0
5	10	11	3
6	11	12	-3
7	12	13	-2
8	13	14	-2
9	14	16	-3
10	16	18	0
11	18	19	3
12	19	20	-3
13	20	21	3
14	21	22	-3
15	22	23	2
16	23	24	-2
17	24	25	3
18	25	26	-3
19	26	27	2
20	27	28	-4
21	28	32	9
22	32	34	0
23	38	39	5
24	39	40	-4
25	40	44	-1
26	44	46	0
27	46	47	3
28	47	48	-3
29	48	49	-2
30	49	50	-2
31	50	52	-3
32	52	54	0
33	54	55	2
34	55	56	1
35	56	57	-1
36	57	58	2
37	58	59	3
38	59	60	-3
39	60	61	5
40	61	62	0
41	62	63	0
42	63	64	2
43	64	68	-4
44	68	70	0
45	70	71	5
46	71	72	-4
47	72	76	-1
48	76	78	0
49	78	79	3
50	79	80	-3
51	80	81	-2
52	81	82	-2
53	82	84	-3
54	84	86	0
55	86	87	3
56	87	88	-3
57	88	89	3
58	89	90	-3
59	90	91	2
60	91	92	-2
61	92	93	3
62	93	94	-3
63	94	95	2
64	95	96	-4
65	96	100	9
66	100	102	0
67	102	103	1
68	103	104	2
69	104	105	2
70	105	106	-4
71	106	107	-1
72	107	107.5	3
73	107.5	108	-2
74	108	111	-1
75	111	111.5	-2
76	111.5	112	1
77	112	113	1
78	113	114	-4
79	114	115	-1
80	115	115.5	3
81	115.5	116	-2
82	116	119	-1
83	119	120	-2
84	120	121	-1
85	121	122	1
86	122	123	3
87	123	124	5
88	124	126	4
89	126	128	-10
90	128	132	1
91	132	134	0
