1	0	0.5	#
2	0.5	1	-3
3	1	2	3
4	2	2.5	0
5	2.5	3	-3
6	3	4	3
7	4	4.5	2
8	4.5	5	2
9	5	5.5	1
10	5.5	6	-3
11	6	6.5	-2
12	6.5	7	-3
13	7	8	3
14	8	9.5	2
15	9.5	10	-4
16	10	10.5	-3
17	10.5	12	5
18	12	12.5	-7
19	12.5	14	0
20	14	16	0
21	16	16.5	7
22	16.5	17	-3
23	17	18	3
24	18	18.5	0
25	18.5	19	-3
26	19	20	3
27	20	20.5	2
28	20.5	21	2
29	21	21.5	1
30	21.5	22	-3
31	22	22.5	-2
32	22.5	23	-3
33	23	24	3
34	24	25.5	2
35	25.5	26	-4
36	26	26.5	-3
37	26.5	28	5
38	28	28.5	-7
39	28.5	30	0
40	30	32	0
41	32	32.5	16
42	32.5	33	0
43	33	33.5	-2
44	33.5	34	0
45	34	34.5	-2
46	34.5	35	0
47	35	35.5	-1
48	35.5	36	0
49	36	36.5	3
50	36.5	38	0
51	38	40	-5
52	40	40.5	5
53	40.5	41	0
54	41	41.5	-2
55	41.5	42	0
56	42	42.5	-1
57	42.5	43	0
58	43	43.5	-2
59	43.5	44	2
60	44	44.5	1
61	44.5	46	0
62	46	48	-5
63	48	48.5	9
64	48.5	49	0
65	49	49.5	-2
66	49.5	50	0
67	50	50.5	-2
68	50.5	51	0
69	51	51.5	-1
70	51.5	52	0
71	52	52.5	3
72	52.5	54	0
73	54	56	-5
74	56	56.5	5
75	56.5	57	0
76	57	57.5	-2
77	57.5	58	0
78	58	58.5	-1
79	58.5	59	0
80	59	59.5	-2
81	59.5	60	2
82	60	60.5	1
83	60.5	62	0
84	62	64	-5
