#	Title	Suspicion (Transcribed)
#	Source Filename	Doc Pomus and Mort Shuman - Suspicion (Transcribed).xml
0	8	5	3	-1	
8	12	7	3	1	min
12	16	0	3	-1	7
16	24	5	3	-1	
24	28	7	3	1	min
28	32	0	3	-1	7
32	40	5	3	-1	
40	53.5	7	3	1	min
53.5	56	7	3	-1	min7
56	72	5	3	-1	
72	86.5	7	3	1	min
86.5	88	7	3	-1	min7
88	96	5	3	-1	
96	116	2	3	1	min
116	124	0	3	-1	7
124	132	5	3	-1	
132	145.5	7	3	1	min
145.5	148	7	3	-1	min7
148	164	5	3	-1	
164	177.5	7	3	1	min
177.5	180	7	3	-1	min7
180	188	5	3	-1	
188	208	2	3	1	min
208	216	0	3	-1	7
216	224	5	3	-1	
224	238.5	7	3	1	min
238.5	240	7	3	-1	min7
240	256	5	3	-1	
256	270.5	7	3	1	min
270.5	272	7	3	-1	min7
272	280	5	3	-1	
280	300	2	3	1	min
300	308	0	3	-1	7
308	308	5	3	-1	
308	312	1	3	-1	7
312	316	5	3	-1	
