1	2	3	#
2	3	4	2
3	4	8	1
4	8	9	0
5	9	10	2
6	10	11	-2
7	11	11.5	-1
8	11.5	12	-2
9	12	12.5	0
10	12.5	13.5	-2
11	13.5	14	2
12	14	16	0
13	16	19	0
14	19	20	-2
15	20	20.5	2
16	20.5	21.5	2
17	21.5	22	0
18	22	24	0
19	24	25	0
20	25	26	-2
21	26	26.5	0
22	26.5	27.5	-2
23	27.5	28	0
24	28	32	2
25	32	35	0
26	35	36	2
27	36	40	1
28	40	41	0
29	41	42	2
30	42	42.5	-2
31	42.5	43	-1
32	43	43.5	-2
33	43.5	44	-2
34	44	45	0
35	45	48	2
36	48	50	0
37	51	52	-2
38	52	56	2
39	57	58	2
40	58	59	0
41	59	59.5	0
42	59.5	60	1
43	60	61	0
44	61	62	0
45	62	63	2
46	63	63.5	-2
47	63.5	64	4
48	64	65	0
49	65	66	-2
50	66	67	-2
51	67	68	-2
52	68	70	0
53	70	71	0
54	71	72	-1
55	72	73	1
56	73	73.5	2
57	73.5	74	2
58	74	75	0
59	75.5	76	-2
60	76	78	-2
61	78	79	0
62	79	80	-1
63	80	81	1
64	81	81.5	2
65	81.5	82	2
66	82	84	0
67	84	88	0
68	88	91	0
69	91	92	-2
70	92	93.5	2
71	93.5	94	3
72	94	96	2
73	96	100	0
74	100	104	0
75	104	107	0
76	107	108	-2
77	108	109	2
78	109	110	-2
79	110	112	-3
80	112	116	0
81	116	120	0
82	120	124	0
83	124	124.5	-2
84	124.5	125	2
85	125	125.5	-2
86	125.5	126	-2
87	126	126.5	-1
88	126.5	127.5	-2
89	127.5	128	3
90	128	128.5	0
91	128.5	130	-1
92	132	132.5	1
93	132.5	133	2
94	133	133.5	-2
95	133.5	134	-1
96	134	135	-2
97	135	135.5	-2
98	135.5	136	2
99	136	136.5	0
100	136.5	137	-2
101	137	137.5	-3
102	137.5	138	3
103	138	140	0
104	140	140.5	7
105	140.5	141	2
106	141	141.5	-2
107	141.5	142	-2
108	142	143	-1
109	143	143.5	-2
110	143.5	144	3
111	144	144.5	0
112	144.5	146	-1
113	146	147	1
114	147	148	-1
115	148	148.5	1
116	148.5	149.5	-1
117	149.5	150	3
118	150	150.5	0
119	150.5	152	-2
120	152	152.5	-1
121	152.5	154	-2
122	154	155	2
123	155	156	-2
124	156	157	2
125	157	158	-2
126	158	159	3
127	159	159.5	-1
128	159.5	160	-2
129	160	160.5	0
130	160.5	162	-2
131	162	163	2
132	163	163.5	-2
133	163.5	164	2
134	164	165	0
135	165	166	-2
136	166	166.5	4
137	166.5	167.5	-2
138	167.5	168	-2
139	168	168.5	0
140	168.5	169.5	-1
141	169.5	170	-2
142	170	171	0
143	171	172	-2
144	172	173.5	2
145	173.5	174	3
146	174	176	2
147	176	180	3
148	180	184	4
149	184	186	5
150	187	188	-2
151	188	190	2
152	190	191	-2
153	191	192	-3
154	192	196	0
155	196	200	0
156	200	201	0
157	202	203	-5
158	203	204	2
159	204	208	1
160	208	209	0
161	209	210	2
162	210	211	-2
163	211	211.5	-1
164	211.5	212	-2
165	212	212.5	0
166	212.5	213.5	-2
167	213.5	214	2
168	214	216	0
169	216	219	0
170	219	220	-2
171	220	220.5	2
172	220.5	221.5	2
173	221.5	222	0
174	222	224	0
175	224	225	0
176	225	226	-2
177	226	226.5	0
178	226.5	227.5	-2
179	227.5	228	0
180	228	232	2
181	232	235	0
182	235	236	2
183	236	240	1
184	240	241	0
185	241	242	2
186	242	242.5	-2
187	242.5	243	-1
188	243	243.5	-2
189	243.5	244	-2
190	244	245	0
191	245	248	2
192	248	250	0
193	251	252	-2
194	252	256	2
195	257	258	2
196	258	259	0
197	259	259.5	0
198	259.5	260	1
199	260	261	0
200	261	262	0
201	262	263	2
202	263	263.5	-2
203	263.5	264	4
204	264	265	0
205	265	266	-2
206	266	267	-2
207	267	268	-2
208	268	270	0
209	270	271	0
210	271	272	-1
211	272	273	1
212	273	273.5	2
213	273.5	274	2
214	274	275	0
215	275.5	276	-2
216	276	278	-2
217	278	279	0
218	279	280	-1
219	280	281	1
220	281	281.5	2
221	281.5	282	2
222	282	284	0
223	284	288	0
224	288	291	0
225	291	292	-2
226	292	293.5	2
227	293.5	294	3
228	294	296	2
229	296	300	0
230	300	304	0
231	304	307	0
232	307	308	-2
233	308	309	2
234	309	310	-2
235	310	312	-3
236	312	316	0
237	316	320	0
238	320	324	0
