#	Title	This Is My Song
#	Title	Charles Chaplin - This Is My Song.xml
1	2	2.5	0	5
2	2.5	3	11	4
3	3	3.5	0	5
4	3.5	4	2	5
5	4	6	11	4
6	6	6.5	11	4
7	6.5	7	9	4
8	7	7.5	11	4
9	7.5	8	0	5
10	8	9.5	9	4
11	9.5	10	7	4
12	10	10.5	9	4
13	10.5	11	7	4
14	11	11.5	9	4
15	11.5	12	4	4
16	12	15	5	4
17	15	16	7	4
18	16	18	11	4
19	18	18.5	11	4
20	18.5	19	9	4
21	19	19.5	11	4
22	19.5	20	0	5
23	20	22	9	4
24	22	22.5	9	4
25	22.5	23	7	4
26	23	23.5	9	4
27	23.5	24	11	4
28	24	27	7	4
29	27	28	9	4
30	28	31	7	4
31	31	32	7	4
32	32	32.5	2	5
33	32.5	33	11	4
34	33	33.5	0	5
35	33.5	34	9	4
36	34	35.5	11	4
37	35.5	36	7	4
38	36	39	5	4
39	39	40	7	4
40	40	40.5	11	4
41	40.5	41	7	4
42	41	41.5	9	4
43	41.5	42	5	4
44	42	43.5	7	4
45	43.5	44	2	4
46	44	45	5	4
47	45	48	4	4
48	48	50	0	5
49	50	50.5	0	5
50	50.5	51	11	4
51	51	51.5	0	5
52	51.5	52	2	5
53	52	54	11	4
54	54	54.5	11	4
55	54.5	55	9	4
56	55	55.5	11	4
57	55.5	56	0	5
58	56	56.5	9	4
59	56.5	57	7	4
60	57	57.5	9	4
61	57.5	58	7	4
62	58	59	9	4
63	59	59.5	2	5
64	59.5	60	0	5
65	60	64	0	5
66	64	66	7	5
67	66	66.5	7	5
68	66.5	67	4	5
69	67	67.5	5	5
70	67.5	68	7	5
71	68	70	4	5
72	70	70.5	4	5
73	70.5	71	2	5
74	71	71.5	4	5
75	71.5	72	5	5
76	72	73.5	2	5
77	73.5	74	0	5
78	74	74.5	2	5
79	74.5	75	0	5
80	75	75.5	2	5
81	75.5	76	9	4
82	76	79	10	4
83	79	80	0	5
84	80	82	4	5
85	82	82.5	4	5
86	82.5	83	2	5
87	83	83.5	4	5
88	83.5	84	5	5
89	84	86	2	5
90	86	86.5	2	5
91	86.5	87	0	5
92	87	87.5	2	5
93	87.5	88	5	5
94	88	91	0	5
95	91	92	2	5
96	92	95	0	5
97	95	96	0	5
98	96	96.5	7	5
99	96.5	97	4	5
100	97	97.5	5	5
101	97.5	98	2	5
102	98	99.5	4	5
103	99.5	100	0	5
104	100	103	10	4
105	103	104	0	5
106	104	104.5	4	5
107	104.5	105	0	5
108	105	105.5	2	5
109	105.5	106	10	4
110	106	107.5	0	5
111	107.5	108	7	4
112	108	109	10	4
113	109	112	9	4
114	112	114	5	5
115	114	114.5	5	5
116	114.5	115	4	5
117	115	115.5	5	5
118	115.5	116	7	5
119	116	118	4	5
120	118	118.5	4	5
121	118.5	119	2	5
122	119	119.5	4	5
123	119.5	120	5	5
124	120	120.5	2	5
125	120.5	121	0	5
126	121	121.5	2	5
127	121.5	122	0	5
128	122	123	2	5
129	123	123.5	7	5
130	123.5	124	5	5
131	124	128	5	5
