#	Title	A quoi ça sert l'amour ?
#	Title	Michel Emer - A quoi ?a sert l'amour ?.xml
1	1	2	0	5
2	2	3	0	5
3	3	4	11	4
4	4	5	11	4
5	5	5.5	9	4
6	5.5	6	9	4
7	6	8	9	4
8	9	10	0	5
9	10	11	0	5
10	11	12	11	4
11	12	13	11	4
12	13	13.5	9	4
13	13.5	14	9	4
14	14	16	9	4
15	17	18	0	5
16	18	19	0	5
17	19	20	11	4
18	20	21	11	4
19	21	21.5	9	4
20	21.5	22	9	4
21	22	24	9	4
22	25	26	0	5
23	26	27	0	5
24	27	28	11	4
25	28	29	11	4
26	29	29.5	9	4
27	29.5	30	9	4
28	30	32	9	4
29	33	34	4	5
30	34	35	4	5
31	35	36	2	5
32	36	37	2	5
33	37	37.5	0	5
34	37.5	38	0	5
35	38	40	0	5
36	41	42	4	5
37	42	43	4	5
38	43	44	2	5
39	44	45	2	5
40	45	45.5	0	5
41	45.5	46	0	5
42	46	48	0	5
43	49	50	4	5
44	50	51	4	5
45	51	52	2	5
46	52	53	2	5
47	53	53.5	0	5
48	53.5	54	0	5
49	54	56	0	5
50	57	58	4	5
51	58	59	4	5
52	59	60	2	5
53	61	63	0	5
54	63	64	2	5
55	64	67	0	5
56	69	70	1	5
57	70	71	1	5
58	71	72	0	5
59	72	73	11	4
60	73	73.5	9	4
61	73.5	74	9	4
62	74	76	9	4
63	77	78	0	5
64	78	79	0	5
65	79	80	11	4
66	80	81	11	4
67	81	81.5	9	4
68	81.5	82	9	4
69	82	84	9	4
70	85	86	0	5
71	86	87	0	5
72	87	88	11	4
73	88	89	11	4
74	89	89.5	9	4
75	89.5	90	9	4
76	90	92	9	4
77	93	94	0	5
78	94	95	0	5
79	95	96	11	4
80	96	97	11	4
81	97	97.5	9	4
82	97.5	98	9	4
83	98	100	9	4
84	101	102	4	5
85	102	103	4	5
86	103	104	2	5
87	104	105	2	5
88	105	105.5	0	5
89	105.5	106	0	5
90	106	108	0	5
91	109	110	4	5
92	110	111	4	5
93	111	112	2	5
94	112	113	2	5
95	113	113.5	0	5
96	113.5	114	0	5
97	114	116	0	5
98	117	118	4	5
99	118	119	4	5
100	119	120	2	5
101	120	121	2	5
102	121	121.5	0	5
103	121.5	122	0	5
104	122	124	0	5
105	125	126	4	5
106	126	127	4	5
107	127	128	2	5
108	129	131	0	5
109	131	132	2	5
110	132	135	0	5
111	137	138	1	5
112	138	139	1	5
113	139	140	0	5
114	140	144	0	5
115	144	148	2	5
116	148	152	0	5
