1	0	1	#
2	1	1.5	8
3	1.5	2	-7
4	2	2.5	0
5	2.5	3.5	7
6	3.5	4	-8
7	4	4.5	0
8	4.5	5.5	8
9	5.5	6	-7
10	6	7	0
11	7	8	7
12	8	9	-8
13	9	9.5	8
14	9.5	10	-7
15	10	10.5	0
16	10.5	11.5	7
17	11.5	12	-8
18	12	12.5	0
19	12.5	13.5	8
20	13.5	14	-7
21	14	15	0
22	15	16	7
23	16	17	-9
24	17	17.5	9
25	17.5	18	-7
26	18	18.5	0
27	18.5	19.5	7
28	19.5	20	-9
29	20	20.5	0
30	20.5	21.5	9
31	21.5	22	-7
32	22	23	0
33	23	24	7
34	24	25	-9
35	25	25.5	9
36	25.5	26	-7
37	26	26.5	0
38	26.5	27.5	7
39	27.5	28	-9
40	28	28.5	0
41	28.5	29.5	9
42	29.5	30	-7
43	30	31	0
44	31	32	7
45	32	36	4
46	36	40	0
47	40	44	0
48	46.6667	47.3333	1
49	47.3333	48	-1
50	48	49.5	-1
51	49.5	50	-3
52	50	52	0
53	52	55	0
54	55	55.5	-5
55	55.5	56	1
56	56	60	-8
57	62	63	7
58	63	64	1
59	64	64.6667	8
60	64.6667	65.3333	1
61	65.3333	66	2
62	66	68	-3
63	68	72	0
64	72	76	0
65	78.6667	79.3333	1
66	79.3333	80	-1
67	80	81	-1
68	81	81.5	-3
69	81.5	82	-5
70	82	82.5	0
71	82.5	83	3
72	83	84	-2
73	84	88	0
74	88	92	-8
75	93.5	94	8
76	94.5	95	2
77	95	95.5	2
78	95.5	96	3
79	96	97	2
80	97	97.5	0
81	97.5	98	0
82	98	99	0
83	99	99.5	0
84	99.5	100	0
85	100	100.5	0
86	100.5	101	0
87	101	101.5	0
88	101.5	102	0
89	102	103	0
90	103	103.5	0
91	103.5	104	0
92	104	105	0
93	105	105.5	0
94	105.5	106	0
95	106	106.5	0
96	106.5	107	0
97	107	107.5	0
98	107.5	108	0
99	108	108.5	0
100	108.5	109	0
101	109	110	0
102	110	110.5	0
103	110.5	111.5	2
104	111.5	112	-2
105	112	112.5	-5
106	112.5	113.5	-5
107	113.5	114	2
108	114	116	0
109	116	120	0
110	120	124	0
111	128	132	7
112	132	136	0
113	136	140	0
114	142.667	143.333	1
115	143.333	144	-1
116	144	145.5	-1
117	145.5	146	-3
118	146	148	0
119	148	151	0
120	151	151.5	-5
121	151.5	152	1
122	152	156	-8
123	158	159	7
124	159	160	1
125	160	160.667	8
126	160.667	161.333	1
127	161.333	162	2
128	162	164	-3
129	164	168	0
130	168	172	0
131	174.667	175.333	1
132	175.333	176	-1
133	176	177	-1
134	177	177.5	-3
135	177.5	178	-5
136	178	178.5	0
137	178.5	179	3
138	179	180	-2
139	180	184	0
140	184	188	-8
141	189.5	190	8
142	190.5	191	2
143	191	191.5	2
144	191.5	192	3
145	192	193	2
146	193	193.5	0
147	193.5	194	0
148	194	195	0
149	195	195.5	0
150	195.5	196	0
151	196	196.5	0
152	196.5	197	0
153	197	197.5	0
154	197.5	198	0
155	198	199	0
156	199	199.5	0
157	199.5	200	0
158	200	201	0
159	201	201.5	0
160	201.5	202	0
161	202	202.5	0
162	202.5	203	0
163	203	203.5	0
164	203.5	204	0
165	204	204.5	0
166	204.5	205	0
167	205	206	0
168	206	206.5	0
169	206.5	207.5	2
170	207.5	208	-2
171	208	208.5	-5
172	208.5	209.5	-5
173	209.5	210	2
174	210	212	0
175	212	216	0
176	216	220	0
