1	1	1.75	#
2	1.75	2	0
3	2	2.75	2
4	2.75	3	0
5	3	3.75	-5
6	3.75	4	0
7	4	8	3
8	8	8.5	0
9	9	9.75	0
10	9.75	10	0
11	10	10.75	2
12	10.75	11	0
13	11	11.75	-2
14	11.75	12	0
15	12	13.5	7
16	13.5	14	-7
17	14	16	0
18	17	18	0
19	18	19	2
20	19	20	-1
21	20	20.5	-1
22	20.5	21.5	10
23	21.5	22	-3
24	22	22.5	0
25	22.5	23.5	-3
26	23.5	24	-4
27	24	26	-2
28	26	26.75	2
29	26.75	27	4
30	27	27.75	3
31	27.75	28	-3
32	28	32	1
33	32	32.5	0
34	33	33.75	-5
35	33.75	34	0
36	34	34.75	2
37	34.75	35	0
38	35	35.75	-5
39	35.75	36	0
40	36	40	3
41	40	40.5	0
42	41	41.75	0
43	41.75	42	0
44	42	42.75	2
45	42.75	43	0
46	43	43.75	-2
47	43.75	44	0
48	44	45.5	7
49	45.5	46	-7
50	46	48	0
51	48	48.5	0
52	49	50	0
53	50	51	2
54	51	52	-1
55	52	52.5	-1
56	52.5	53.5	10
57	53.5	54	-3
58	54	54.5	0
59	54.5	55.5	-3
60	55.5	56	-4
61	56	58	-2
62	58	58.75	2
63	58.75	59	4
64	59	59.75	3
65	59.75	60	-3
66	60	64	1
67	65	66	0
68	66	67	0
69	67	68	0
70	68	69	3
71	69	69.5	-3
72	69.5	70	2
73	70	71	0
74	71	72	-2
75	72	74	3
76	74	74.5	0
77	74.5	75.5	0
78	75.5	76	-1
79	76	77	-2
80	77	78	-5
81	78	78.5	-4
82	78.5	79.5	2
83	79.5	80	2
84	80	81	0
85	81	82	5
86	82	83	0
87	83	84	0
88	84	85	3
89	85	86	-3
90	86	86.5	2
91	86.5	87.5	-2
92	87.5	88	3
93	88	91	0
94	91	92	-3
95	92	92.5	-1
96	92.5	93	0
97	93	94	1
98	94	96	2
99	96	96.5	5
100	97	97.75	-12
101	97.75	98	0
102	98	98.75	2
103	98.75	99	0
104	99	99.75	-5
105	99.75	100	0
106	100	104	3
107	104	104.5	0
108	105	105.75	0
109	105.75	106	0
110	106	106.75	2
111	106.75	107	0
112	107	107.75	-2
113	107.75	108	0
114	108	109.5	7
115	109.5	110	-7
116	110	112	0
117	113	114	0
118	114	115	2
119	115	116	-1
120	116	117	-1
121	117	117.5	10
122	117.5	118	-3
123	118	120	0
124	120	121	0
125	121	121.5	-1
126	121.5	122	3
127	122	124	0
128	124.5	125.5	1
129	125.5	126	-3
130	126	127	-2
131	127	128	-1
132	128	130	1
133	130	132	4
134	132.5	133.5	1
135	133.5	134	-3
136	134	135	-2
137	135	136	-1
138	136	136.5	1
139	137	137.75	-5
140	137.75	138	0
141	138	138.75	2
142	138.75	139	0
143	139	139.75	-5
144	139.75	140	0
145	140	144	3
146	144	144.5	0
147	145	145.75	0
148	145.75	146	0
149	146	146.75	2
150	146.75	147	0
151	147	147.75	-2
152	147.75	148	0
153	148	149.5	7
154	149.5	150	-7
155	150	152	0
156	153	154	0
157	154	155	2
158	155	156	-1
159	156	156.5	-1
160	156.5	157.5	10
161	157.5	158	-3
162	158	158.5	0
163	158.5	159.5	-3
164	159.5	160	-4
165	160	162	-2
166	162	162.75	2
167	162.75	163	4
168	163	163.75	3
169	163.75	164	-3
170	164	168	1
171	168	168.5	0
172	169	169.75	-5
173	169.75	170	0
174	170	170.75	2
175	170.75	171	0
176	171	171.75	-5
177	171.75	172	0
178	172	176	3
179	176	176.5	0
180	177	177.75	0
181	177.75	178	0
182	178	178.75	2
183	178.75	179	0
184	179	179.75	-2
185	179.75	180	0
186	180	181.5	7
187	181.5	182	-7
188	182	184	0
189	184	184.5	0
190	185	186	0
191	186	187	2
192	187	188	-1
193	188	188.5	-1
194	188.5	189.5	10
195	189.5	190	-3
196	190	190.5	0
197	190.5	191.5	-3
198	191.5	192	-4
199	192	194	-2
200	194	194.75	2
201	194.75	195	4
202	195	195.75	3
203	195.75	196	-3
204	196	200	1
205	201	202	0
206	202	203	0
207	203	204	0
208	204	205	3
209	205	205.5	-3
210	205.5	206	2
211	206	207	0
212	207	208	-2
213	208	210	3
214	210	210.5	0
215	210.5	211.5	0
216	211.5	212	-1
217	212	213	-2
218	213	214	-5
219	214	214.5	-4
220	214.5	215.5	2
221	215.5	216	2
222	216	217	0
223	217	218	5
224	218	219	0
225	219	220	0
226	220	221	3
227	221	222	-3
228	222	222.5	2
229	222.5	223.5	-2
230	223.5	224	3
231	224	227	0
232	227	228	-3
233	228	228.5	-1
234	228.5	229	0
235	229	230	1
236	230	232	2
237	232	232.5	5
238	233	233.75	-12
239	233.75	234	0
240	234	234.75	2
241	234.75	235	0
242	235	235.75	-5
243	235.75	236	0
244	236	240	3
245	240	240.5	0
246	241	241.75	0
247	241.75	242	0
248	242	242.75	2
249	242.75	243	0
250	243	243.75	-2
251	243.75	244	0
252	244	245.5	7
253	245.5	246	-7
254	246	248	0
255	249	250	0
256	250	251	2
257	251	252	-1
258	252	253	-1
259	253	253.5	10
260	253.5	254	-3
261	254	256	0
262	256	257	0
263	257	257.5	-1
264	257.5	258	3
265	258	260	0
266	260.5	261.5	1
267	261.5	262	-3
268	262	263	-2
269	263	264	-1
270	264	266	1
271	266	268	4
272	268.5	269.5	1
273	269.5	270	-3
274	270	271	-2
275	271	272	-1
276	272	273	1
