1	3	5	#
2	5	6	0
3	6	8	-5
4	8	9	0
5	9	11	5
6	11	12	0
7	12	15	-5
8	15	17	-2
9	17	18	2
10	18	20	1
11	20	21	0
12	21	22	0
13	22	23	2
14	23	24	-2
15	24	27	-1
16	27	29	0
17	29	30	1
18	30	32	-1
19	32	33	-2
20	33	35	0
21	35	36	2
22	36	38	-2
23	38	39	-2
24	39	41	0
25	41	42	2
26	42	44	-2
27	44	45	-1
28	45	47	1
29	47	48	-1
30	48	50	-2
31	51	53	12
32	53	54	0
33	54	56	-5
34	56	57	0
35	57	59	5
36	59	60	0
37	60	63	-5
38	63	65	-2
39	65	66	2
40	66	68	1
41	68	69	0
42	69	70	0
43	70	71	2
44	71	72	-2
45	72	75	-1
46	75	77	0
47	77	78	1
48	78	80	-1
49	80	81	-2
50	81	83	0
51	83	84	2
52	84	86	-2
53	86	87	-2
54	87	89	0
55	89	90	2
56	90	92	-2
57	92	93	-1
58	93	95	1
59	95	96	-1
60	96	98	-2
61	99	101	7
62	101	102	1
63	102	104	2
64	104	105	0
65	105	107	2
66	107	108	-2
67	108	110	-2
68	110	111	-1
69	111	113	-2
70	113	114	2
71	114	116	1
72	116	117	0
73	117	119	2
74	119	120	-2
75	120	122	-1
76	122	123	-2
77	123	125	-2
78	125	126	4
79	126	128	3
80	128	129	0
81	129	131	2
82	131	132	-2
83	132	134	-2
84	134	135	-1
85	135	137	-2
86	137	138	2
87	138	139	1
88	139	140	2
89	140	141	-2
90	141	143	-1
91	143	144	-2
92	144	146	-2
93	147	149	4
94	149	150	1
95	150	152	2
96	152	153	0
97	153	155	2
98	155	156	-2
99	156	158	-2
100	158	159	-1
101	159	161	-2
102	161	162	2
103	162	164	1
104	164	165	0
105	165	167	2
106	167	168	-2
107	168	170	-1
108	170	171	-2
109	171	173	-2
110	173	174	4
111	174	176	3
112	176	177	0
113	177	179	2
114	179	180	-2
115	180	182	-2
116	182	183	-1
117	183	185	-2
118	185	186	2
119	186	187	1
120	187	188	2
121	188	189	-2
122	189	191	-1
123	191	192	-2
124	192	194	-2
125	195	197	-3
126	197	198	2
127	198	199	1
128	199	200	-1
129	200	201	1
130	201	202	2
131	202	203	-2
132	203	204	-1
133	204	205	1
134	205	206	-1
135	206	207	1
136	207	208	2
137	208	209	-2
138	209	210	-1
139	210	211	1
140	211	212	-1
141	212	213	-2
142	213	214	-1
143	214	215	1
144	215	216	2
145	216	218	-2
146	219	221	0
147	221	222	2
148	222	223	1
149	223	224	-1
150	224	225	1
151	225	226	2
152	226	227	-2
153	227	228	2
154	228	229	2
155	229	230	-2
156	230	231	2
157	231	232	1
158	232	233	-1
159	233	234	-2
160	234	235	-2
161	235	236	-1
162	236	237	-2
163	237	238	-1
164	238	239	1
165	239	240	2
166	240	242	-2
167	243	245	0
168	245	246	2
169	246	247	1
170	247	248	-1
171	248	249	1
172	249	250	2
173	250	251	-2
174	251	252	-1
175	252	253	1
176	253	254	-1
177	254	255	1
178	255	256	2
179	256	257	-2
180	257	258	-1
181	258	259	1
182	259	260	-1
183	260	261	-2
184	261	262	-1
185	262	263	1
186	263	264	2
187	264	266	-2
188	267	269	0
189	269	270	2
190	270	271	1
191	271	272	-1
192	272	273	1
193	273	274	2
194	274	275	-2
195	275	276	2
196	276	277	2
197	277	278	-2
198	278	279	2
199	279	280	1
200	280	281	-1
201	281	282	-2
202	282	283	-2
203	283	284	-1
204	284	285	-2
205	285	286	-1
206	286	287	1
207	287	288	2
208	288	290	-2
209	291	292	-2
210	292	293	2
211	293	294	2
212	294	295	1
213	295	296	-1
214	296	297	1
215	297	298	4
216	298	299	-1
217	299	300	1
218	300	302	3
219	302	303	0
220	303	304	0
221	304	305	2
222	305	306	-2
223	306	308	0
224	308	309	-2
225	309	310	0
226	310	311	2
227	311	312	-2
228	312	314	0
229	314	315	-1
230	315	316	-9
231	316	317	2
232	317	318	2
233	318	319	1
234	319	320	-1
235	320	321	1
236	321	322	4
237	322	323	-1
238	323	324	1
239	324	326	3
240	326	327	0
241	327	328	0
242	328	329	-1
243	329	330	1
244	330	331	4
245	331	332	-2
246	332	333	-2
247	333	334	-2
248	334	335	-1
249	335	336	-2
250	336	339	-2
251	339	341	0
