#	Title	Something To Live For
#	Title	Billy Strayhorn - Something To Live For.xml
1	0	1	11	3
2	1	2	7	3
3	2	3	2	3
4	3	4	11	3
5	4	8	9	3
6	8	9	11	3
7	9	10	7	3
8	10	11	2	3
9	11	12	11	3
10	12	16	9	3
11	16	17	9	3
12	17	18	5	3
13	18	19	0	3
14	19	20	9	3
15	20	24	7	3
16	24	25	9	3
17	25	26	5	3
18	26	27	0	3
19	27	28	9	3
20	28	31	7	3
21	31	32	6	3
22	32	33	5	3
23	33	34	7	3
24	34	35	9	3
25	35	36	10	3
26	36	37	0	4
27	37	40	0	4
28	40	41	2	3
29	41	42	4	3
30	42	43	7	3
31	43	44	10	3
32	44	47	9	3
33	47.5	48	7	3
34	48	49	6	3
35	49	50	7	3
36	50	51	8	3
37	51	52	9	3
38	52	53	0	4
39	53	55	0	4
40	55	56	11	3
41	56	57	10	3
42	57	58	10	3
43	58	59	10	3
44	59	60	9	3
45	60	62	8	3
46	62	64	9	3
47	64	66	11	3
48	66	68	11	3
49	68	69.5	11	3
50	69.5	70	11	3
51	70	70.6667	2	4
52	70.6667	71.3333	11	3
53	71.3333	72	2	4
54	72	73.5	10	3
55	73.5	74	10	3
56	74	76	10	3
57	76	78	10	3
58	78	78.6667	2	4
59	78.6667	79.3333	10	3
60	79.3333	80	1	4
61	80	81.5	0	4
62	81.5	82	0	3
63	82	84	2	3
64	84	84.6667	2	3
65	84.6667	85.3333	0	3
66	85.3333	86	2	3
67	86	86.6667	5	3
68	86.6667	87.3333	7	3
69	87.3333	88	8	3
70	88	90	7	3
71	90	92	7	3
72	92	92.6667	4	4
73	92.6667	93.3333	2	4
74	93.3333	94	4	4
75	94	95	8	3
76	95	96	9	3
77	96	98	11	3
78	98	100	11	3
79	100	101.5	11	3
80	101.5	102	11	3
81	102	102.667	2	4
82	102.667	103.333	11	3
83	103.333	104	2	4
84	104	105.5	10	3
85	105.5	106	10	3
86	106	108	10	3
87	108	110	10	3
88	110	110.667	2	4
89	110.667	111.333	10	3
90	111.333	112	1	4
91	112	113.5	0	4
92	113.5	114	0	3
93	114	116	2	3
94	116	118	2	3
95	118	118.667	5	3
96	118.667	119.333	9	3
97	119.333	120	0	4
98	120	124	4	4
99	124	124.667	4	4
100	124.667	125.333	4	4
101	125.333	126	4	4
102	126	127.5	5	4
103	127.5	128	4	4
104	128	129.5	11	3
105	129.5	130	11	3
106	130	131.5	11	3
107	131.5	132	11	3
108	132	133.5	11	3
109	133.5	134	11	3
110	134	136	11	3
111	136	138	2	4
112	138	140	2	4
113	140	140.667	2	4
114	140.667	141.333	2	4
115	141.333	142	2	4
116	142	142.667	3	4
117	142.667	143.333	3	4
118	143.333	144	2	4
119	144	145.5	8	3
120	145.5	146	8	3
121	146	148	8	3
122	148	150	8	3
123	150	152	9	3
124	152	156	11	3
125	156	157.5	11	3
126	157.5	158	11	3
127	158	158.667	2	4
128	158.667	159.333	11	3
129	159.333	160	2	4
130	160	161.5	10	3
131	161.5	162	10	3
132	162	164	10	3
133	164	166	10	3
134	166	166.667	2	4
135	166.667	167.333	10	3
136	167.333	168	1	4
137	168	169.5	0	4
138	169.5	170	0	3
139	170	172	2	3
140	172	174	2	3
141	174	174.667	4	3
142	174.667	175.333	5	3
143	175.333	176	9	3
144	176	180	0	4
145	180	182	0	4
146	182	183.5	11	3
147	183.5	184	0	4
148	184	186	4	4
149	186	188	4	4
150	188	190	4	4
151	190	191.5	2	4
152	191.5	192	0	4
153	192	194	8	3
154	194	196	11	3
155	196	198	11	3
156	198	200	9	3
157	200	204	7	3
158	204	206	9	3
159	206	207.5	11	3
160	207.5	208	0	4
161	208	210	2	4
162	210	212	2	4
163	212	214	2	4
164	214	215	11	3
165	215	216	2	4
166	216	218	11	3
167	218	220	11	3
168	220	221.5	11	3
169	221.5	222	11	3
170	222	222.667	2	4
171	222.667	223.333	11	3
172	223.333	224	2	4
173	224	225.5	10	3
174	225.5	226	10	3
175	226	228	10	3
176	228	230	10	3
177	230	230.667	2	4
178	230.667	231.333	10	3
179	231.333	232	1	4
180	232	233.5	0	4
181	233.5	234	0	3
182	234	236	2	3
183	236	236.667	2	3
184	236.667	237.333	0	3
185	237.333	238	2	3
186	238	238.667	5	3
187	238.667	239.333	7	3
188	239.333	240	8	3
189	240	242	7	3
190	242	244	7	3
191	244	244.667	4	4
192	244.667	245.333	2	4
193	245.333	246	4	4
194	246	247	8	3
195	247	248	9	3
196	248	250	11	3
197	250	252	11	3
198	252	253.5	11	3
199	253.5	254	11	3
200	254	254.667	2	4
201	254.667	255.333	11	3
202	255.333	256	2	4
203	256	257.5	10	3
204	257.5	258	10	3
205	258	260	10	3
206	260	262	10	3
207	262	262.667	2	4
208	262.667	263.333	10	3
209	263.333	264	1	4
210	264	265.5	0	4
211	265.5	266	0	3
212	266	268	2	3
213	268	270	2	3
214	270	270.667	5	3
215	270.667	271.333	9	3
216	271.333	272	0	4
217	272	276	4	4
218	276	276.667	4	4
219	276.667	277.333	4	4
220	277.333	278	4	4
221	278	279.5	5	4
222	279.5	280	4	4
223	280	281.5	11	3
224	281.5	282	11	3
225	282	283.5	11	3
226	283.5	284	11	3
227	284	285.5	11	3
228	285.5	286	11	3
229	286	288	11	3
230	288	290	2	4
231	290	292	2	4
232	292	292.667	2	4
233	292.667	293.333	2	4
234	293.333	294	2	4
235	294	294.667	3	4
236	294.667	295.333	3	4
237	295.333	296	2	4
238	296	297.5	8	3
239	297.5	298	8	3
240	298	300	8	3
241	300	302	8	3
242	302	304	9	3
243	304	308	11	3
244	308	309.5	11	3
245	309.5	310	11	3
246	310	310.667	2	4
247	310.667	311.333	11	3
248	311.333	312	2	4
249	312	313.5	10	3
250	313.5	314	10	3
251	314	316	10	3
252	316	318	10	3
253	318	318.667	2	4
254	318.667	319.333	10	3
255	319.333	320	1	4
256	320	321.5	0	4
257	321.5	322	0	3
258	322	324	2	3
259	324	326	2	3
260	326	326.667	4	3
261	326.667	327.333	5	3
262	327.333	328	9	3
263	328	332	0	4
264	332	334	0	4
265	334	335.5	11	3
266	335.5	336	0	4
267	336	338	4	4
268	338	340	4	4
269	340	342	4	4
270	342	343.5	2	4
271	343.5	344	0	4
272	344	346	8	3
273	346	348	11	3
